Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 1303, 1315, 4, 4, 4, 3, 
5, 1313, 1170, 142, 139, 71, 3, 
5, 1325, 1000, 138, 133, 8, 1.87, 
5, 1325, 1210, 23, 22, 25, 3, 
5, 1329, 619, 4, 4, 4, 3, 
5, 1335, 609, 2, 2, 2, 3, 
5, 1356, 935, 58, 56, 6, 1.14, 
5, 1365, 1325, 27, 26, 3, 1, 
5, 1377, 1451, 39, 25, 6, 1, 
5, 1387, 1278, 16, 15, 6, 3, 
5, 1389, 1159, 18, 18, 16, 3, 
5, 1394, 1154, 36, 0, 0, 0, 
5, 1412, 1340, 177, 177, 242, 2.99, 
5, 1413, 983, 91, 90, 37, 3, 
5, 1425, 901, 9, 9, 37, 4.89, 
5, 1434, 1429, 119, 115, 32, 1, 
5, 1466, 1177, 34, 0, 0, 0, 
5, 1467, 1101, 18, 14, 6, 2, 
5, 1471, 1015, 2, 0, 0, 0, 
5, 1494, 1005, 14, 3, 1, 2, 
5, 1503, 720, 15, 0, 0, 0, 
5, 1509, 770, 92, 0, 0, 0, 
5, 1515, 1522, 34, 34, 38, 3, 
5, 1516, 985, 36, 35, 12, 2, 
5, 1516, 1066, 68, 56, 4, 3, 
5, 1520, 1641, 10, 6, 2, 2, 
5, 1525, 1577, 2, 0, 0, 0, 
5, 1545, 1600, 46, 46, 17, 1.67, 
5, 1561, 907, 18, 18, 98, 5, 
5, 1578, 1303, 80, 80, 301, 4, 
5, 1591, 1533, 58, 1, 2, 4, 
5, 1599, 946, 26, 0, 0, 0, 
5, 1601, 1015, 10, 7, 3, 2, 
5, 1601, 1351, 147, 147, 55, 2, 
5, 1601, 1582, 219, 217, 111, 2, 
5, 1607, 1562, 9, 9, 60, 4, 
5, 1609, 1470, 8, 8, 36, 4, 
5, 1613, 1666, 50, 44, 33, 2.82, 
5, 1615, 917, 78, 75, 11, 1.97, 
5, 1618, 1641, 53, 38, 9, 2, 
5, 1621, 1283, 4, 0, 0, 0, 
5, 1628, 1654, 83, 76, 28, 1.92, 
5, 1635, 1259, 106, 106, 607, 4.97, 
5, 1635, 1269, 101, 101, 551, 5, 
5, 1638, 1061, 22, 22, 21, 3, 
5, 1639, 1322, 48, 48, 335, 5, 
5, 1648, 899, 68, 65, 29, 3, 
5, 1650, 1134, 2, 2, 1, 2, 
5, 1674, 908, 2, 0, 0, 0, 
5, 1687, 1636, 181, 171, 27, 2, 
5, 1693, 1094, 26, 24, 6, 3, 
5, 1699, 1269, 2, 1, 2, 3, 
5, 1707, 1628, 259, 258, 171, 3, 
5, 1712, 1379, 25, 20, 9, 2.75, 
5, 1715, 1443, 115, 89, 37, 2, 
5, 1726, 1187, 61, 54, 14, 3, 
5, 1735, 961, 17, 16, 4, 1.25, 
5, 1741, 1180, 60, 0, 0, 0, 
5, 1742, 1540, 2, 2, 3, 2, 
5, 1746, 1599, 46, 33, 1, 2, 
5, 1748, 1134, 96, 0, 0, 0, 
5, 1769, 841, 6, 6, 6, 3, 
5, 1770, 1365, 68, 65, 16, 2, 
5, 1794, 1363, 9, 0, 0, 0, 
5, 1824, 1267, 25, 24, 10, 2, 
5, 1843, 999, 61, 61, 24, 2, 
5, 1863, 1344, 55, 55, 293, 4.98, 
5, 1863, 1471, 155, 146, 15, 2, 
5, 1885, 1117, 3, 3, 2, 2, 
5, 1890, 1476, 183, 182, 41, 2, 
5, 1892, 1356, 10, 0, 0, 0, 
5, 1897, 906, 2, 1, 1, 2, 
5, 1897, 1215, 13, 13, 10, 3, 
5, 1930, 1215, 23, 20, 5, 3, 
5, 1945, 986, 4, 4, 1, 2, 
5, 1974, 1038, 27, 0, 0, 0, 
5, 1974, 1081, 152, 133, 3, 2, 
5, 1978, 1070, 23, 0, 0, 0, 
5, 2010, 1157, 50, 42, 4, 1.64, 
5, 2019, 1044, 62, 5, 1, 1, 
5, 2068, 1288, 13, 11, 17, 3, 
5, 2074, 1228, 39, 39, 8, 2, 
5, 2078, 1259, 2, 2, 2, 4, 
5, 2084, 1318, 165, 165, 641, 4, 
5, 2091, 923, 35, 35, 12, 2, 
5, 2114, 1188, 89, 84, 25, 3, 
5, 2627, 1007, 13, 12, 9, 2, 
5, 2691, 881, 47, 18, 10, 2, 
5, 2696, 978, 37, 37, 10, 2, 
5, 2745, 1049, 25, 25, 15, 3, 
5, 2767, 1040, 82, 82, 68, 2.99, 
5, 2787, 998, 122, 111, 9, 2, 
5, 2828, 1084, 2, 1, 2, 1, 
5, 2833, 1165, 15, 15, 13, 3, 
5, 2835, 1110, 2, 1, 1, 2, 
5, 2846, 799, 58, 52, 29, 3, 
5, 2861, 1331, 69, 69, 86, 3, 
5, 2862, 995, 21, 21, 8, 1.95, 
5, 2862, 1195, 41, 7, 26, 4, 
5, 2868, 1300, 93, 81, 14, 2, 
5, 2869, 1400, 44, 42, 3, 3, 
5, 2878, 941, 52, 51, 36, 3, 
5, 2918, 1386, 5, 5, 39, 5, 
5, 2929, 926, 7, 1, 1, 2, 
5, 2936, 817, 51, 49, 26, 2, 
5, 2957, 1094, 122, 109, 27, 1.89, 
5, 2975, 1389, 10, 0, 0, 0, 
5, 2977, 1143, 22, 22, 112, 4, 
5, 2993, 990, 10, 0, 0, 0, 
5, 2998, 1197, 34, 33, 17, 2.88, 
5, 3001, 975, 12, 0, 0, 0, 
5, 3004, 1268, 8, 7, 5, 1.86, 
5, 3014, 1123, 29, 29, 6, 1, 
5, 3032, 1343, 42, 12, 2, 1, 
5, 3049, 1490, 21, 21, 48, 3, 
5, 3050, 1430, 59, 0, 0, 0, 
5, 3052, 948, 21, 0, 0, 0, 
5, 3053, 1258, 17, 16, 5, 1.19, 
5, 3070, 1355, 51, 51, 210, 4, 
5, 3082, 765, 31, 26, 9, 2.46, 
5, 3084, 1441, 81, 76, 6, 1.87, 
5, 3088, 1087, 5, 0, 0, 0, 
5, 3100, 1328, 9, 9, 45, 4, 
5, 3109, 911, 81, 81, 11, 2, 
5, 3109, 1428, 7, 6, 11, 3, 
5, 3115, 1165, 145, 143, 57, 2.99, 
5, 3125, 1104, 2, 1, 1, 2, 
5, 3136, 1543, 38, 29, 1, 2, 
5, 3158, 1106, 66, 65, 64, 3, 
5, 3180, 1537, 155, 155, 413, 4, 
5, 3191, 1244, 24, 16, 6, 3, 
5, 3197, 685, 8, 8, 15, 3, 
5, 3207, 1518, 9, 3, 1, 1, 
5, 3210, 1535, 6, 0, 0, 0, 
5, 3212, 1236, 152, 152, 328, 5, 
5, 3217, 576, 10, 8, 5, 3, 
5, 3219, 1238, 219, 0, 0, 0, 
5, 3222, 793, 16, 14, 3, 2, 
5, 3222, 978, 63, 63, 46, 2, 
5, 3227, 1129, 209, 209, 137, 3, 
5, 3245, 1212, 4, 4, 4, 1.5, 
5, 3252, 668, 16, 16, 105, 5, 
5, 3266, 622, 61, 61, 74, 3, 
5, 3266, 1371, 76, 76, 71, 3, 
5, 3268, 1235, 51, 49, 63, 3, 
5, 3281, 677, 38, 33, 10, 2, 
5, 3283, 946, 2, 2, 9, 4, 
5, 3299, 1159, 6, 0, 0, 0, 
5, 3304, 668, 86, 86, 369, 4, 
5, 3305, 1023, 8, 8, 4, 2, 
5, 3314, 713, 89, 89, 406, 4, 
5, 3335, 1498, 71, 68, 26, 2.96, 
5, 3342, 938, 100, 100, 29, 2, 
5, 3347, 933, 42, 37, 11, 1, 
5, 3351, 1444, 47, 46, 40, 3, 
5, 3370, 1265, 118, 106, 32, 1, 
5, 3387, 1150, 33, 32, 11, 2, 
5, 3389, 1481, 6, 0, 0, 0, 
5, 3400, 1343, 20, 20, 21, 3, 
5, 3400, 1383, 96, 94, 39, 3, 
5, 3407, 626, 91, 91, 507, 4.99, 
5, 3407, 925, 118, 118, 57, 2, 
5, 3411, 1287, 15, 15, 12, 2.87, 
5, 3416, 1325, 44, 44, 35, 3, 
5, 3422, 563, 200, 198, 130, 3, 
5, 3432, 910, 187, 178, 126, 3, 
5, 3434, 1454, 166, 166, 34, 2, 
5, 3436, 1367, 19, 18, 15, 3, 
5, 3439, 935, 28, 26, 1, 2, 
5, 3441, 1384, 25, 25, 19, 3, 
5, 3458, 1139, 10, 8, 6, 3, 
5, 3460, 840, 95, 84, 6, 1, 
5, 3462, 1209, 16, 14, 6, 3, 
5, 3469, 1448, 8, 0, 0, 0, 
5, 3477, 388, 17, 14, 6, 3, 
5, 3484, 376, 3, 0, 0, 0, 
5, 3504, 798, 108, 108, 108, 3, 
5, 3511, 816, 13, 13, 17, 3, 
5, 3519, 440, 8, 0, 0, 0, 
5, 3528, 1099, 7, 6, 2, 2.33, 
5, 3534, 1047, 11, 0, 0, 0, 
5, 3539, 803, 71, 70, 73, 3, 
5, 3542, 420, 28, 18, 6, 2, 
5, 3542, 644, 42, 42, 327, 5, 
5, 3543, 401, 124, 0, 0, 0, 
5, 3545, 655, 7, 0, 0, 0, 
5, 3560, 961, 22, 22, 10, 2.45, 
5, 3573, 929, 93, 92, 32, 3, 
5, 3581, 483, 20, 0, 0, 0, 
5, 3584, 703, 39, 12, 1, 2, 
5, 3608, 951, 13, 1, 1, 1, 
5, 3616, 808, 164, 164, 94, 2, 
5, 3637, 886, 8, 0, 0, 0, 
5, 3639, 1027, 28, 0, 0, 0, 
5, 3646, 1192, 31, 31, 29, 2.94, 
5, 3649, 1003, 143, 0, 0, 0, 
5, 3655, 1180, 87, 87, 34, 2, 
5, 3657, 447, 62, 61, 30, 2.67, 
