Time,InsectName,StartYear,StopYear,MeanDefoliation,NumSitesDefoliated0_33,NumSitesDefoliated33_66,NumSitesDefoliated66_100,NumOutbreakInitialSites,MortalityBiomass,
94, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
95, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
96, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
97, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
98, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
99, FTC, 99, 99, 0.1036, 3760339, 130070, 162322, 399378, 0, 
100, FTC, 0, 0, 0, 0, 0, 0, 0, 158728786, 
101, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
102, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
103, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
104, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
105, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
106, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
107, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
108, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
109, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
110, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
111, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
112, FTC, 112, 112, 0.1002, 3764105, 123563, 153148, 399378, 0, 
113, FTC, 0, 0, 0, 0, 0, 0, 0, 118009842, 
114, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
115, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
116, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
117, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
118, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
119, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
120, FTC, 120, 121, 0.1067, 3717461, 130375, 183599, 391698, 0, 
121, FTC, 120, 121, 0.0889, 3783453, 180468, 68742, 391698, 121555131, 
122, FTC, 0, 0, 0, 0, 0, 0, 0, 134966174, 
123, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
124, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
125, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
126, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
127, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
128, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
129, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
130, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
131, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
132, FTC, 132, 133, 0.105, 3720321, 127131, 180952, 379645, 0, 
133, FTC, 132, 133, 0.087, 3788446, 177465, 64233, 379645, 92892411, 
134, FTC, 0, 0, 0, 0, 0, 0, 0, 102854314, 
135, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
136, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
137, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
138, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
139, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
140, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
141, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
142, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
143, FTC, 143, 143, 0.1042, 3719586, 128813, 178588, 379645, 0, 
144, FTC, 0, 0, 0, 0, 0, 0, 0, 74581746, 
145, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
146, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
147, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
