Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 29, 912, 13, 13, 41, 4, 
5, 32, 900, 45, 45, 4, 2, 
5, 115, 902, 26, 22, 2, 3, 
5, 123, 883, 61, 0, 0, 0, 
5, 123, 926, 20, 0, 0, 0, 
5, 183, 1052, 12, 12, 38, 4, 
5, 185, 604, 40, 40, 4, 3, 
5, 206, 889, 78, 69, 6, 3, 
5, 208, 494, 15, 13, 5, 2, 
5, 211, 1164, 14, 11, 6, 1.91, 
5, 213, 1027, 157, 141, 79, 2, 
5, 228, 742, 15, 13, 1, 2, 
5, 228, 1126, 10, 6, 5, 1.67, 
5, 238, 1010, 77, 76, 37, 3, 
5, 239, 1085, 12, 8, 3, 2, 
5, 240, 1208, 86, 71, 9, 1, 
5, 272, 926, 118, 114, 12, 1.32, 
5, 277, 1187, 102, 95, 88, 3, 
5, 282, 830, 22, 1, 7, 5, 
5, 285, 694, 126, 126, 530, 4, 
5, 314, 968, 186, 186, 311, 3, 
5, 328, 771, 103, 103, 120, 3, 
5, 353, 589, 26, 26, 154, 5, 
5, 378, 742, 43, 43, 222, 4.98, 
5, 382, 468, 21, 17, 2, 1, 
5, 388, 438, 37, 36, 22, 2, 
5, 396, 661, 50, 0, 0, 0, 
5, 396, 1328, 28, 28, 9, 2, 
5, 397, 642, 54, 53, 34, 3, 
5, 400, 722, 76, 8, 1, 2, 
5, 401, 1351, 125, 125, 29, 2, 
5, 402, 1176, 3, 2, 2, 1, 
5, 439, 1406, 40, 32, 7, 1.5, 
5, 455, 1341, 2, 1, 1, 1, 
5, 468, 1305, 80, 80, 23, 3, 
5, 473, 678, 63, 40, 5, 1, 
5, 489, 1296, 46, 46, 13, 1.98, 
5, 491, 1082, 45, 45, 40, 3, 
5, 508, 1318, 51, 39, 4, 2, 
5, 513, 1302, 11, 11, 12, 2.82, 
5, 514, 967, 164, 164, 817, 4.99, 
5, 518, 1101, 74, 69, 21, 2, 
5, 519, 888, 72, 72, 307, 4, 
5, 522, 1163, 21, 14, 2, 1.29, 
5, 533, 438, 4, 3, 2, 2, 
5, 541, 942, 14, 0, 0, 0, 
5, 543, 416, 47, 0, 0, 0, 
5, 546, 1397, 34, 29, 9, 1, 
5, 549, 954, 35, 32, 19, 3, 
5, 559, 1374, 113, 91, 10, 1.92, 
5, 585, 1233, 35, 0, 0, 0, 
5, 589, 526, 37, 34, 17, 2, 
5, 615, 933, 10, 5, 4, 2.2, 
5, 623, 415, 72, 0, 0, 0, 
5, 630, 1261, 24, 11, 1, 2, 
5, 645, 822, 83, 64, 1, 2, 
5, 675, 468, 4, 4, 30, 5, 
5, 675, 559, 66, 66, 326, 4, 
5, 686, 421, 69, 69, 64, 3, 
5, 701, 788, 6, 5, 2, 2, 
5, 717, 814, 7, 0, 0, 0, 
5, 719, 474, 34, 34, 29, 2, 
5, 724, 795, 103, 43, 2, 1, 
5, 728, 1019, 166, 166, 614, 4, 
5, 735, 1022, 119, 119, 150, 2, 
5, 740, 1099, 5, 0, 0, 0, 
5, 743, 1227, 5, 0, 0, 0, 
5, 749, 986, 41, 41, 77, 2.95, 
5, 750, 1142, 73, 72, 66, 3, 
5, 766, 1130, 22, 22, 18, 3, 
5, 768, 1057, 78, 78, 29, 3, 
5, 778, 1277, 140, 139, 121, 2.98, 
5, 779, 1156, 34, 34, 38, 3, 
5, 782, 825, 19, 16, 16, 3, 
5, 787, 734, 5, 4, 2, 3, 
5, 790, 839, 5, 0, 0, 0, 
5, 800, 1138, 108, 62, 4, 1.16, 
5, 820, 758, 138, 136, 109, 3, 
5, 842, 829, 74, 68, 33, 2, 
