Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_ABIEBALS,CohortsHarvested_ACERPENS,CohortsHarvested_ACERRUBR,CohortsHarvested_ACERSACC,CohortsHarvested_BETUALLE,CohortsHarvested_BETULENT,CohortsHarvested_BETUPAPY,CohortsHarvested_CARYCORD,CohortsHarvested_CARYOVAT,CohortsHarvested_FAGUGRAN,CohortsHarvested_FRAXAMER,CohortsHarvested_PICEABIE,CohortsHarvested_PICERUBE,CohortsHarvested_PINURESI,CohortsHarvested_PINUSTRO,CohortsHarvested_POPUGRAN,CohortsHarvested_POPUTREM,CohortsHarvested_PRUNPENS,CohortsHarvested_PRUNSERO,CohortsHarvested_QUERALBA,CohortsHarvested_QUERRUBR,CohortsHarvested_TILIAMER,CohortsHarvested_TSUGCANA,BiomassHarvestedMg_ABIEBALS,BiomassHarvestedMg_ACERPENS,BiomassHarvestedMg_ACERRUBR,BiomassHarvestedMg_ACERSACC,BiomassHarvestedMg_BETUALLE,BiomassHarvestedMg_BETULENT,BiomassHarvestedMg_BETUPAPY,BiomassHarvestedMg_CARYCORD,BiomassHarvestedMg_CARYOVAT,BiomassHarvestedMg_FAGUGRAN,BiomassHarvestedMg_FRAXAMER,BiomassHarvestedMg_PICEABIE,BiomassHarvestedMg_PICERUBE,BiomassHarvestedMg_PINURESI,BiomassHarvestedMg_PINUSTRO,BiomassHarvestedMg_POPUGRAN,BiomassHarvestedMg_POPUTREM,BiomassHarvestedMg_PRUNPENS,BiomassHarvestedMg_PRUNSERO,BiomassHarvestedMg_QUERALBA,BiomassHarvestedMg_QUERRUBR,BiomassHarvestedMg_TILIAMER,BiomassHarvestedMg_TSUGCANA,
5, 62, SoftwoodRelease, 285, 523, 0, 80.4789031979441, 0, 0, 0, 0, 74, 0, 449, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25.8066010254622, 0, 54.672302172482, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 62, GroupSelection, 281, 1626, 0, 3400.58623512715, 109, 12, 278, 224, 382, 0, 77, 0, 0, 167, 36, 16, 174, 2, 5, 2, 5, 1, 71, 0, 0, 1, 64, 72.9243028977513, 6.31350025087595, 252.368110028207, 1106.58784397185, 991.222239387631, 0, 45.9036018240452, 0, 0, 186.531307412088, 97.7958038860559, 29.3364011657238, 225.70020896852, 0.28080001115799, 50.6556020128727, 0.531000021100044, 1.00440003991127, 0.00990000039339066, 275.922910964191, 0, 0, 20.062800797224, 37.4355014875531, 
5, 62, GroupSelectionBeechUnderstory, 290, 1519, 0, 4019.31825971335, 1, 0, 114, 339, 388, 0, 17, 0, 0, 620, 29, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 5, 0.102600004076958, 0, 146.483105820715, 1156.34434594899, 1626.66186463773, 0, 1.36980005443096, 0, 0, 1015.70404036045, 57.9636023032665, 0, 1.64520006537437, 0, 0, 0, 0, 0, 10.3860004127026, 0, 0, 0, 2.65770010560751, 
5, 62, OakShelterWood, 248, 952, 407, 2154.00158559233, 9, 0, 205, 163, 108, 75, 3, 0, 0, 212, 77, 0, 1, 6, 3, 0, 0, 1, 0, 19, 388, 0, 89, 1.81170007199049, 0, 114.060604532361, 844.106433541775, 162.789306468666, 185.234407360554, 0.0162000006437302, 0, 0, 298.633511866629, 178.06860707581, 0, 0.107100004255772, 9.66420038402081, 8.56440034031868, 0, 0, 0.00810000032186508, 0, 2.7981001111865, 321.042612757087, 0, 27.0963010767102, 
5, 62, NHWShelterwood, 236, 177, 1061, 1077.20014280409, 2, 1, 28, 527, 252, 1, 24, 0, 0, 279, 76, 0, 5, 0, 2, 0, 6, 1, 7, 0, 2, 0, 25, 0.39060001552105, 0.519300020635128, 12.6729005035758, 498.042919790447, 157.093206242323, 0.452700017988682, 22.4487008920312, 0, 0, 70.9758028203249, 284.385611300469, 0, 2.75490010946989, 0, 4.49910017877817, 0, 2.77560011029243, 0.00990000039339066, 4.49280017852783, 0, 1.26900005042553, 0, 14.4171005728841, 
5, 85, ClearCutSmall, 178, 1175, 0, 2692.34020698398, 1, 0, 213, 151, 106, 70, 12, 0, 0, 79, 79, 0, 18, 0, 84, 28, 16, 4, 39, 1, 196, 0, 78, 0.531900021135807, 0, 145.25010577172, 740.776529435813, 196.34400780201, 178.414207089543, 14.8518005901575, 0, 0, 82.8000032901764, 156.95370623678, 0, 2.20680008769035, 0, 191.672107616365, 10.2186004060507, 5.27850020974874, 0.0396000015735626, 206.871308220327, 14.0463005581498, 728.109928932488, 0, 17.9748007142544, 
5, 85, SoftwoodRelease, 120, 454, 0, 1278.08645078659, 0, 3, 157, 29, 121, 0, 7, 0, 0, 80, 24, 0, 0, 0, 0, 0, 3, 0, 24, 0, 6, 0, 0, 0, 1.54260006129742, 162.749706467092, 165.320106569231, 645.153325636089, 0, 0.591300023496151, 0, 0, 137.776505474746, 30.333601205349, 0, 0, 0, 0, 0, 3.26160012960434, 0, 92.2086036640405, 0, 39.1491015556455, 0, 0, 
5, 85, PlantationConversion, 94, 420, 0, 697.365927710831, 31, 0, 77, 19, 24, 0, 1, 0, 0, 3, 3, 102, 122, 0, 0, 0, 0, 0, 20, 0, 0, 0, 18, 37.8702015048265, 0, 128.186105093658, 154.956606157422, 134.97840536356, 0, 0.391500015556812, 0, 0, 2.06910008221865, 1.66860006630421, 167.270406646729, 31.7907012632489, 0, 0, 0, 0, 0, 33.1947013190389, 0, 0, 0, 4.98960019826889, 
5, 85, GroupSelection, 9, 40, 0, 138.800705515444, 0, 0, 4, 8, 8, 0, 3, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1.55610006183386, 26.6652010595799, 49.9608019852638, 0, 2.73240010857582, 0, 0, 57.5541022869945, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.332100013196468, 
5, 85, GroupSelectionBeechUnderstory, 12, 67, 0, 167.383806651235, 0, 0, 6, 13, 13, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4.2444001686573, 60.9912024235725, 38.6550015360117, 0, 0, 0, 0, 61.9848024630546, 0, 0, 0, 0, 0, 0, 0, 0, 1.50840005993843, 0, 0, 0, 0, 
