"class","npixels","year","areaHa","scenario","rep"
"10",9383,2017,844.47,"RCP85","Rep1"
"11",137362,2017,12362.58,"RCP85","Rep1"
"12",44059,2017,3965.31,"RCP85","Rep1"
"13",737,2017,66.33,"RCP85","Rep1"
"0",704446,2018,63400.14,"RCP85","Rep1"
"1",972400,2018,87516,"RCP85","Rep1"
"2",90659,2018,8159.31,"RCP85","Rep1"
"3",423760,2018,38138.4,"RCP85","Rep1"
"4",97822,2018,8803.98,"RCP85","Rep1"
"5",85550,2018,7699.5,"RCP85","Rep1"
"6",143862,2018,12947.58,"RCP85","Rep1"
"7",6411,2018,576.99,"RCP85","Rep1"
"8",6466,2018,581.94,"RCP85","Rep1"
"9",130470,2018,11742.3,"RCP85","Rep1"
"10",9348,2018,841.32,"RCP85","Rep1"
"11",137236,2018,12351.24,"RCP85","Rep1"
"12",44066,2018,3965.94,"RCP85","Rep1"
"13",737,2018,66.33,"RCP85","Rep1"
"0",709034,2019,63813.06,"RCP85","Rep1"
"1",970836,2019,87375.24,"RCP85","Rep1"
"2",90576,2019,8151.84,"RCP85","Rep1"
"3",422043,2019,37983.87,"RCP85","Rep1"
"4",97732,2019,8795.88,"RCP85","Rep1"
"5",85686,2019,7711.74,"RCP85","Rep1"
"6",144378,2019,12994.02,"RCP85","Rep1"
"7",6398,2019,575.82,"RCP85","Rep1"
"8",6479,2019,583.11,"RCP85","Rep1"
"9",129286,2019,11635.74,"RCP85","Rep1"
"10",9195,2019,827.55,"RCP85","Rep1"
"11",136905,2019,12321.45,"RCP85","Rep1"
"12",43946,2019,3955.14,"RCP85","Rep1"
"13",739,2019,66.51,"RCP85","Rep1"
"0",708698,2020,63782.82,"RCP85","Rep1"
"1",973194,2020,87587.46,"RCP85","Rep1"
"2",92869,2020,8358.21,"RCP85","Rep1"
"3",422902,2020,38061.18,"RCP85","Rep1"
"4",97869,2020,8808.21,"RCP85","Rep1"
"5",85708,2020,7713.72,"RCP85","Rep1"
"6",145101,2020,13059.09,"RCP85","Rep1"
"7",6399,2020,575.91,"RCP85","Rep1"
"8",6517,2020,586.53,"RCP85","Rep1"
"9",124339,2020,11190.51,"RCP85","Rep1"
"10",9171,2020,825.39,"RCP85","Rep1"
"11",135780,2020,12220.2,"RCP85","Rep1"
"12",43947,2020,3955.23,"RCP85","Rep1"
"13",739,2020,66.51,"RCP85","Rep1"
"0",708317,2021,63748.53,"RCP85","Rep1"
"1",982294,2021,88406.46,"RCP85","Rep1"
"2",92680,2021,8341.2,"RCP85","Rep1"
"3",421326,2021,37919.34,"RCP85","Rep1"
"4",97898,2021,8810.82,"RCP85","Rep1"
"5",83672,2021,7530.48,"RCP85","Rep1"
"6",147970,2021,13317.3,"RCP85","Rep1"
"7",6401,2021,576.09,"RCP85","Rep1"
"8",6601,2021,594.09,"RCP85","Rep1"
"9",122852,2021,11056.68,"RCP85","Rep1"
"10",9156,2021,824.04,"RCP85","Rep1"
"11",129375,2021,11643.75,"RCP85","Rep1"
"12",43951,2021,3955.59,"RCP85","Rep1"
"13",740,2021,66.6,"RCP85","Rep1"
"0",707863,2022,63707.67,"RCP85","Rep1"
"1",986172,2022,88755.48,"RCP85","Rep1"
"2",92484,2022,8323.56,"RCP85","Rep1"
"3",419461,2022,37751.49,"RCP85","Rep1"
"4",97776,2022,8799.84,"RCP85","Rep1"
"5",82800,2022,7452,"RCP85","Rep1"
"6",150111,2022,13509.99,"RCP85","Rep1"
"7",6404,2022,576.36,"RCP85","Rep1"
"8",6694,2022,602.46,"RCP85","Rep1"
"9",121614,2022,10945.26,"RCP85","Rep1"
"10",9136,2022,822.24,"RCP85","Rep1"
"11",128013,2022,11521.17,"RCP85","Rep1"
"12",43965,2022,3956.85,"RCP85","Rep1"
"13",740,2022,66.6,"RCP85","Rep1"
"0",707337,2023,63660.33,"RCP85","Rep1"
"1",988223,2023,88940.07,"RCP85","Rep1"
"2",91900,2023,8271,"RCP85","Rep1"
"3",418667,2023,37680.03,"RCP85","Rep1"
"4",97599,2023,8783.91,"RCP85","Rep1"
"5",81593,2023,7343.37,"RCP85","Rep1"
"6",155889,2023,14030.01,"RCP85","Rep1"
"7",6405,2023,576.45,"RCP85","Rep1"
"8",6734,2023,606.06,"RCP85","Rep1"
"9",117506,2023,10575.54,"RCP85","Rep1"
"10",9116,2023,820.44,"RCP85","Rep1"
"11",127527,2023,11477.43,"RCP85","Rep1"
"12",43996,2023,3959.64,"RCP85","Rep1"
"13",741,2023,66.69,"RCP85","Rep1"
"0",712602,2024,64134.18,"RCP85","Rep1"
