"class","npixels","year","areaHa","scenario","rep"
"0",5395325,2010,485579.25,"RCP85","Rep1"
"1",1670926,2010,150383.34,"RCP85","Rep1"
"2",174937,2010,15744.33,"RCP85","Rep1"
"3",566839,2010,51015.51,"RCP85","Rep1"
"4",217045,2010,19534.05,"RCP85","Rep1"
"6",250075,2010,22506.75,"RCP85","Rep1"
"7",66149,2010,5953.41,"RCP85","Rep1"
"8",151704,2010,13653.36,"RCP85","Rep1"
"9",360270,2010,32424.3,"RCP85","Rep1"
"10",42966,2010,3866.94,"RCP85","Rep1"
"11",338484,2010,30463.56,"RCP85","Rep1"
"12",279784,2010,25180.56,"RCP85","Rep1"
"13",5500,2010,495,"RCP85","Rep1"
"0",5395175,2011,485565.75,"RCP85","Rep1"
"1",1674882,2011,150739.38,"RCP85","Rep1"
"2",173559,2011,15620.31,"RCP85","Rep1"
"3",570554,2011,51349.86,"RCP85","Rep1"
"4",214157,2011,19274.13,"RCP85","Rep1"
"6",251558,2011,22640.22,"RCP85","Rep1"
"7",66163,2011,5954.67,"RCP85","Rep1"
"8",151666,2011,13649.94,"RCP85","Rep1"
"9",357327,2011,32159.43,"RCP85","Rep1"
"10",42816,2011,3853.44,"RCP85","Rep1"
"11",336846,2011,30316.14,"RCP85","Rep1"
"12",279801,2011,25182.09,"RCP85","Rep1"
"13",5500,2011,495,"RCP85","Rep1"
"0",5395025,2012,485552.25,"RCP85","Rep1"
"1",1676093,2012,150848.37,"RCP85","Rep1"
"2",173334,2012,15600.06,"RCP85","Rep1"
"3",571624,2012,51446.16,"RCP85","Rep1"
"4",212101,2012,19089.09,"RCP85","Rep1"
"6",253178,2012,22786.02,"RCP85","Rep1"
"7",66175,2012,5955.75,"RCP85","Rep1"
"8",153095,2012,13778.55,"RCP85","Rep1"
"9",355607,2012,32004.63,"RCP85","Rep1"
"10",42098,2012,3788.82,"RCP85","Rep1"
"11",336360,2012,30272.4,"RCP85","Rep1"
"12",279814,2012,25183.26,"RCP85","Rep1"
"13",5500,2012,495,"RCP85","Rep1"
"0",5394898,2013,485540.82,"RCP85","Rep1"
"1",1678450,2013,151060.5,"RCP85","Rep1"
"2",172376,2013,15513.84,"RCP85","Rep1"
"3",570333,2013,51329.97,"RCP85","Rep1"
"4",211631,2013,19046.79,"RCP85","Rep1"
"6",254431,2013,22898.79,"RCP85","Rep1"
"7",66188,2013,5956.92,"RCP85","Rep1"
"8",153044,2013,13773.96,"RCP85","Rep1"
"9",355247,2013,31972.23,"RCP85","Rep1"
"10",41577,2013,3741.93,"RCP85","Rep1"
"11",336511,2013,30285.99,"RCP85","Rep1"
"12",279818,2013,25183.62,"RCP85","Rep1"
"13",5500,2013,495,"RCP85","Rep1"
"0",5405485,2014,486493.65,"RCP85","Rep1"
"1",1678346,2014,151051.14,"RCP85","Rep1"
"2",170722,2014,15364.98,"RCP85","Rep1"
"3",569323,2014,51239.07,"RCP85","Rep1"
"4",211811,2014,19062.99,"RCP85","Rep1"
"6",254929,2014,22943.61,"RCP85","Rep1"
"7",66096,2014,5948.64,"RCP85","Rep1"
"8",153196,2014,13787.64,"RCP85","Rep1"
"9",349334,2014,31440.06,"RCP85","Rep1"
"10",40290,2014,3626.1,"RCP85","Rep1"
"11",335827,2014,30224.43,"RCP85","Rep1"
"12",279147,2014,25123.23,"RCP85","Rep1"
"13",5498,2014,494.82,"RCP85","Rep1"
"0",5406642,2015,486597.78,"RCP85","Rep1"
"1",1680366,2015,151232.94,"RCP85","Rep1"
"2",170728,2015,15365.52,"RCP85","Rep1"
"3",572406,2015,51516.54,"RCP85","Rep1"
"4",215793,2015,19421.37,"RCP85","Rep1"
"6",254381,2015,22894.29,"RCP85","Rep1"
"7",66115,2015,5950.35,"RCP85","Rep1"
"8",153156,2015,13784.04,"RCP85","Rep1"
"9",345233,2015,31070.97,"RCP85","Rep1"
"10",40082,2015,3607.38,"RCP85","Rep1"
"11",330367,2015,29733.03,"RCP85","Rep1"
"12",279237,2015,25131.33,"RCP85","Rep1"
"13",5498,2015,494.82,"RCP85","Rep1"
"0",5406077,2016,486546.93,"RCP85","Rep1"
"1",1685981,2016,151738.29,"RCP85","Rep1"
"2",168688,2016,15181.92,"RCP85","Rep1"
"3",571670,2016,51450.3,"RCP85","Rep1"
"4",215714,2016,19414.26,"RCP85","Rep1"
"6",255884,2016,23029.56,"RCP85","Rep1"
"7",66126,2016,5951.34,"RCP85","Rep1"
"8",153114,2016,13780.26,"RCP85","Rep1"
"9",341433,2016,30728.97,"RCP85","Rep1"
"10",39844,2016,3585.96,"RCP85","Rep1"
"11",330594,2016,29753.46,"RCP85","Rep1"
"12",279381,2016,25144.29,"RCP85","Rep1"
"13",5498,2016,494.82,"RCP85","Rep1"
"0",5405555,2017,486499.95,"RCP85","Rep1"
"1",1689592,2017,152063.28,"RCP85","Rep1"
"2",167438,2017,15069.42,"RCP85","Rep1"
"3",571677,2017,51450.93,"RCP85","Rep1"
"4",215640,2017,19407.6,"RCP85","Rep1"
"6",257493,2017,23174.37,"RCP85","Rep1"
"7",66148,2017,5953.32,"RCP85","Rep1"
"8",153094,2017,13778.46,"RCP85","Rep1"
"9",338329,2017,30449.61,"RCP85","Rep1"
"10",39564,2017,3560.76,"RCP85","Rep1"
"11",330208,2017,29718.72,"RCP85","Rep1"
"12",279768,2017,25179.12,"RCP85","Rep1"
"13",5498,2017,494.82,"RCP85","Rep1"
"0",5405023,2018,486452.07,"RCP85","Rep1"
"1",1693040,2018,152373.6,"RCP85","Rep1"
"2",166861,2018,15017.49,"RCP85","Rep1"
"3",574154,2018,51673.86,"RCP85","Rep1"
"4",215489,2018,19394.01,"RCP85","Rep1"
"6",259148,2018,23323.32,"RCP85","Rep1"
"7",66214,2018,5959.26,"RCP85","Rep1"
"8",153042,2018,13773.78,"RCP85","Rep1"
"9",332250,2018,29902.5,"RCP85","Rep1"
"10",39343,2018,3540.87,"RCP85","Rep1"
"11",330177,2018,29715.93,"RCP85","Rep1"
"12",279765,2018,25178.85,"RCP85","Rep1"
"13",5498,2018,494.82,"RCP85","Rep1"
"0",5413218,2019,487189.62,"RCP85","Rep1"
"1",1690766,2019,152168.94,"RCP85","Rep1"
"2",166759,2019,15008.31,"RCP85","Rep1"
"3",575880,2019,51829.2,"RCP85","Rep1"
"4",215586,2019,19402.74,"RCP85","Rep1"
"6",259942,2019,23394.78,"RCP85","Rep1"
"7",66170,2019,5955.3,"RCP85","Rep1"
"8",152910,2019,13761.9,"RCP85","Rep1"
"9",326572,2019,29391.48,"RCP85","Rep1"
"10",38462,2019,3461.58,"RCP85","Rep1"
"11",329097,2019,29618.73,"RCP85","Rep1"
"12",279146,2019,25123.14,"RCP85","Rep1"
"13",5496,2019,494.64,"RCP85","Rep1"
"0",5412565,2020,487130.85,"RCP85","Rep1"
"1",1695678,2020,152611.02,"RCP85","Rep1"
"2",168998,2020,15209.82,"RCP85","Rep1"
"3",576270,2020,51864.3,"RCP85","Rep1"
"4",215730,2020,19415.7,"RCP85","Rep1"
"6",261740,2020,23556.6,"RCP85","Rep1"
"7",66196,2020,5957.64,"RCP85","Rep1"
"8",152921,2020,13762.89,"RCP85","Rep1"
"9",321260,2020,28913.4,"RCP85","Rep1"
