Time,InsectName,StartYear,StopYear,MeanDefoliation,NumSitesDefoliated0_33,NumSitesDefoliated33_66,NumSitesDefoliated66_100,NumOutbreakInitialSites,MortalityBiomass,
0, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
1, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
2, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
3, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
4, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
5, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
6, FTC, 6, 7, 0.0965, 3870452, 131041, 110831, 367815, 0, 
7, FTC, 6, 7, 0.0801, 3952218, 140830, 19662, 367815, 169084257, 
8, FTC, 0, 0, 0, 0, 0, 0, 0, 177625943, 
9, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
10, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
11, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
12, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
13, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
14, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
15, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
16, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
17, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
18, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
19, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
20, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
21, FTC, 21, 22, 0.0933, 3862867, 124806, 102344, 333123, 0, 
22, FTC, 21, 22, 0.0782, 3939359, 133474, 18291, 333123, 165090567, 
23, FTC, 0, 0, 0, 0, 0, 0, 0, 177882699, 
24, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
25, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
26, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
27, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
28, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
29, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
30, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
31, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
32, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
33, FTC, 33, 35, 0.1032, 3796909, 141656, 143032, 425614, 0, 
34, FTC, 33, 35, 0.0839, 3888719, 164320, 29735, 425614, 223477639, 
35, FTC, 33, 35, 0.071, 3966461, 99162, 7672, 425614, 233686629, 
