Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 1297, 912, 19, 19, 10, 3, 
5, 1297, 936, 62, 58, 6, 1, 
5, 1307, 1100, 115, 111, 16, 1, 
5, 1310, 1114, 40, 31, 4, 2, 
5, 1311, 1365, 71, 71, 55, 3, 
5, 1322, 1464, 85, 85, 381, 5, 
5, 1325, 960, 41, 41, 12, 1.93, 
5, 1327, 507, 2, 2, 4, 2, 
5, 1333, 846, 5, 5, 17, 4, 
5, 1333, 1374, 35, 31, 13, 2, 
5, 1338, 1189, 113, 107, 41, 2, 
5, 1341, 1381, 73, 53, 14, 2, 
5, 1345, 1405, 25, 24, 10, 3, 
5, 1346, 739, 48, 48, 31, 3, 
5, 1363, 1082, 65, 58, 2, 1, 
5, 1388, 1050, 128, 126, 94, 3, 
5, 1396, 1081, 146, 146, 60, 3, 
5, 1416, 1198, 30, 28, 13, 3, 
5, 1417, 1487, 4, 3, 1, 2, 
5, 1420, 1252, 12, 12, 54, 4.83, 
5, 1421, 1491, 39, 35, 15, 2, 
5, 1424, 638, 177, 175, 107, 2, 
5, 1427, 1480, 2, 0, 0, 0, 
5, 1435, 835, 18, 18, 73, 4.89, 
5, 1436, 583, 38, 35, 14, 2, 
5, 1453, 1168, 17, 17, 12, 2, 
5, 1461, 1147, 58, 54, 16, 3, 
5, 1470, 1139, 23, 22, 19, 2, 
5, 1473, 1185, 19, 19, 60, 4, 
5, 1492, 849, 64, 15, 1, 1, 
5, 1494, 987, 117, 110, 20, 2, 
5, 1502, 865, 13, 13, 52, 5, 
5, 1516, 1410, 205, 205, 139, 3, 
5, 1523, 984, 72, 72, 22, 1, 
5, 1532, 1064, 9, 9, 49, 5, 
5, 1541, 1352, 113, 112, 150, 3, 
5, 1562, 720, 4, 1, 1, 2, 
5, 1569, 786, 15, 14, 6, 2, 
5, 1570, 1500, 126, 0, 0, 0, 
5, 1585, 1017, 18, 18, 22, 1.94, 
5, 1590, 1514, 25, 24, 13, 2, 
5, 1592, 916, 88, 88, 416, 5, 
5, 1593, 1690, 24, 23, 6, 1.78, 
5, 1594, 1287, 11, 9, 2, 3, 
5, 1605, 1178, 18, 1, 1, 1, 
5, 1610, 790, 47, 47, 19, 3, 
5, 1612, 985, 77, 0, 0, 0, 
5, 1618, 1664, 140, 139, 56, 2, 
5, 1620, 984, 16, 7, 2, 3, 
5, 1627, 1247, 74, 74, 10, 2, 
5, 1648, 1551, 76, 76, 73, 3, 
5, 1650, 838, 149, 141, 12, 2, 
5, 1652, 1494, 240, 237, 180, 2, 
5, 1658, 1443, 28, 26, 14, 3, 
5, 1662, 1093, 50, 49, 26, 2.96, 
5, 1673, 1116, 28, 27, 13, 1, 
5, 1686, 864, 15, 14, 11, 3, 
5, 1686, 1237, 8, 8, 30, 5, 
5, 1696, 801, 77, 0, 0, 0, 
5, 1709, 1227, 21, 15, 7, 1.2, 
5, 1712, 1332, 38, 38, 19, 3, 
5, 1721, 1666, 83, 64, 5, 1.86, 
5, 1725, 1051, 37, 28, 2, 2, 
5, 1732, 818, 2, 1, 1, 3, 
5, 1744, 1012, 56, 34, 7, 1.82, 
5, 1745, 819, 53, 53, 82, 3, 
5, 1746, 1597, 134, 81, 16, 2, 
5, 1751, 853, 45, 42, 60, 2.88, 
5, 1751, 1324, 13, 9, 1, 1, 
5, 1792, 1034, 48, 34, 2, 2, 
5, 1796, 819, 3, 1, 2, 3, 
5, 1820, 1414, 277, 277, 131, 2.99, 
5, 1834, 1163, 2, 0, 0, 0, 
5, 1837, 950, 7, 6, 9, 3, 
5, 1846, 1414, 61, 59, 19, 3, 
5, 1887, 1132, 72, 0, 0, 0, 
5, 1901, 1407, 150, 0, 0, 0, 
5, 1904, 1210, 71, 64, 25, 2, 
5, 1916, 1164, 115, 94, 18, 2, 
5, 1940, 1250, 4, 0, 0, 0, 
5, 1953, 1143, 14, 12, 2, 1.33, 
5, 1967, 1255, 150, 150, 83, 3, 
5, 1970, 1103, 225, 184, 8, 2, 
5, 2003, 1230, 13, 13, 1, 1, 
5, 2067, 1439, 71, 63, 17, 2.65, 
5, 2069, 1033, 8, 8, 9, 3, 
5, 2086, 1273, 9, 9, 9, 3, 
5, 2094, 1306, 23, 22, 19, 2, 
5, 2121, 1132, 293, 288, 71, 3, 
5, 2126, 1072, 23, 23, 93, 4, 
5, 2141, 1286, 49, 49, 67, 1.96, 
5, 2674, 1130, 50, 50, 249, 4, 
5, 2680, 929, 32, 0, 0, 0, 
5, 2717, 944, 10, 0, 0, 0, 
5, 2749, 1062, 19, 19, 124, 5, 
5, 2780, 1096, 11, 8, 5, 2, 
5, 2833, 1065, 90, 89, 69, 3, 
5, 2837, 1242, 3, 0, 0, 0, 
5, 2839, 1055, 31, 30, 18, 3, 
5, 2852, 1149, 79, 79, 292, 4, 
5, 2887, 967, 27, 27, 148, 5, 
5, 2888, 1015, 13, 12, 2, 2, 
5, 2888, 1299, 2, 0, 0, 0, 
5, 2893, 1225, 141, 134, 97, 3, 
5, 2893, 1378, 216, 203, 128, 3, 
5, 2898, 1386, 39, 31, 4, 1.97, 
5, 2908, 1252, 24, 19, 10, 2, 
5, 2918, 1480, 31, 27, 2, 1, 
5, 2928, 1203, 2, 0, 0, 0, 
5, 2933, 1430, 9, 8, 2, 1, 
5, 2939, 835, 42, 42, 48, 3, 
5, 2945, 983, 50, 0, 0, 0, 
5, 2978, 1034, 73, 55, 6, 1, 
5, 2994, 1103, 61, 49, 7, 1, 
5, 3003, 960, 77, 76, 36, 3, 
5, 3004, 1032, 22, 0, 0, 0, 
5, 3008, 847, 10, 10, 13, 3, 
5, 3008, 1392, 86, 83, 31, 1.98, 
5, 3014, 977, 38, 34, 4, 1, 
5, 3017, 822, 36, 28, 12, 2, 
5, 3053, 905, 90, 42, 3, 2, 
5, 3056, 966, 53, 0, 0, 0, 
5, 3057, 1062, 3, 3, 5, 3, 
5, 3057, 1063, 94, 94, 103, 3, 
5, 3059, 943, 2, 0, 0, 0, 
5, 3071, 894, 31, 27, 17, 3, 
5, 3074, 866, 62, 0, 0, 0, 
5, 3076, 1071, 93, 93, 64, 3, 
5, 3091, 1471, 2, 0, 0, 0, 
5, 3092, 1342, 32, 25, 4, 1.36, 
5, 3093, 1017, 12, 0, 0, 0, 
5, 3109, 1338, 2, 2, 1, 3, 
5, 3113, 1068, 113, 113, 149, 3, 
5, 3132, 1106, 36, 36, 245, 5, 
5, 3151, 1406, 45, 0, 0, 0, 
5, 3155, 1321, 2, 0, 0, 0, 
5, 3155, 1542, 56, 34, 8, 2, 
5, 3166, 1114, 5, 3, 1, 2, 
5, 3188, 1178, 38, 37, 42, 3, 
5, 3201, 1093, 37, 33, 6, 3, 
5, 3212, 1311, 10, 10, 7, 3, 
5, 3213, 1482, 27, 26, 17, 3, 
5, 3215, 575, 31, 31, 10, 3, 
5, 3215, 1042, 26, 26, 24, 3, 
5, 3217, 1140, 105, 105, 37, 2.98, 
5, 3242, 918, 33, 33, 23, 2, 
5, 3243, 1415, 29, 27, 27, 3, 
5, 3244, 1278, 122, 50, 11, 1.78, 
5, 3247, 900, 242, 236, 118, 2, 
5, 3254, 1541, 25, 25, 16, 3, 
5, 3262, 1195, 201, 194, 50, 2, 
5, 3273, 813, 103, 103, 34, 3, 
5, 3275, 529, 8, 8, 33, 4, 
5, 3284, 1198, 57, 57, 55, 3, 
5, 3285, 543, 85, 83, 27, 3, 
5, 3297, 810, 26, 26, 14, 3, 
5, 3298, 540, 2, 2, 13, 4, 
5, 3323, 1011, 8, 8, 35, 5, 
5, 3334, 1371, 28, 28, 29, 3, 
5, 3336, 1067, 9, 9, 4, 3, 
5, 3342, 683, 25, 22, 2, 2, 
5, 3346, 681, 113, 113, 40, 2, 
5, 3347, 528, 77, 71, 40, 3, 
5, 3347, 810, 18, 0, 0, 0, 
5, 3365, 725, 64, 64, 172, 3, 
5, 3374, 973, 21, 21, 24, 2.9, 
5, 3388, 875, 5, 0, 0, 0, 
5, 3396, 1439, 46, 0, 0, 0, 
5, 3412, 553, 66, 63, 14, 2, 
5, 3423, 979, 6, 0, 0, 0, 
5, 3442, 853, 37, 37, 249, 4.97, 
5, 3445, 1079, 4, 0, 0, 0, 
5, 3462, 1381, 110, 110, 48, 3, 
5, 3463, 766, 43, 43, 67, 3, 
5, 3475, 1010, 26, 24, 3, 3, 
5, 3492, 1226, 27, 27, 2, 2, 
5, 3493, 1107, 28, 0, 0, 0, 
5, 3497, 1360, 36, 0, 0, 0, 
5, 3503, 899, 57, 57, 75, 3, 
5, 3505, 679, 42, 42, 32, 3, 
5, 3528, 1170, 20, 6, 1, 2, 
5, 3537, 645, 73, 73, 100, 3, 
5, 3554, 1104, 41, 32, 5, 1, 
5, 3554, 1148, 71, 67, 15, 1.97, 
5, 3557, 1267, 37, 36, 5, 2, 
5, 3565, 972, 39, 39, 199, 4.97, 
5, 3573, 451, 45, 45, 26, 3, 
5, 3574, 1050, 10, 3, 1, 1, 
5, 3582, 1073, 32, 29, 16, 3, 
5, 3587, 451, 2, 0, 0, 0, 
5, 3592, 695, 18, 1, 5, 4, 
5, 3593, 1381, 100, 0, 0, 0, 
5, 3597, 503, 52, 42, 2, 2, 
5, 3598, 981, 21, 0, 0, 0, 
5, 3604, 767, 28, 5, 1, 1, 
5, 3609, 396, 165, 165, 175, 2.99, 
5, 3609, 627, 13, 0, 0, 0, 
5, 3614, 1205, 34, 34, 217, 5, 
5, 3621, 886, 200, 199, 60, 2, 
5, 3625, 1083, 48, 29, 1, 2, 
5, 3631, 983, 37, 0, 0, 0, 
5, 3638, 612, 134, 134, 192, 3, 
5, 3650, 1063, 10, 9, 6, 2.33, 
5, 3653, 554, 55, 54, 21, 3, 
5, 3654, 1399, 413, 413, 106, 2, 
5, 3660, 1092, 41, 41, 13, 2, 
5, 3665, 1299, 104, 101, 15, 2, 
5, 3667, 611, 56, 0, 0, 0, 
5, 3673, 573, 66, 25, 4, 1, 
5, 3674, 752, 199, 196, 238, 3, 
5, 3675, 833, 2, 2, 2, 3, 
5, 3675, 861, 60, 55, 34, 2, 
5, 3677, 1160, 2, 0, 0, 0, 
5, 3686, 1355, 191, 181, 29, 1.98, 
5, 3692, 1320, 199, 199, 216, 2.98, 
5, 3699, 717, 41, 0, 0, 0, 
5, 3720, 442, 26, 19, 5, 3, 
5, 3727, 1195, 16, 16, 50, 4, 
5, 3728, 621, 191, 190, 111, 2, 
5, 3755, 1139, 46, 0, 0, 0, 
5, 3764, 985, 60, 9, 1, 2, 
5, 3769, 585, 31, 31, 17, 1.9, 
5, 3780, 1320, 207, 202, 44, 1.96, 
5, 3790, 1252, 78, 77, 78, 2.97, 
5, 3791, 908, 147, 0, 0, 0, 
5, 3799, 515, 128, 127, 137, 3, 
5, 3805, 1249, 69, 51, 7, 2, 
5, 3815, 1097, 114, 96, 23, 1.96, 
5, 3816, 1278, 13, 1, 1, 2, 
5, 3822, 923, 6, 0, 0, 0, 
5, 3823, 1196, 31, 17, 6, 3, 
5, 3825, 463, 29, 29, 48, 3, 
5, 3826, 1256, 49, 41, 7, 1, 
5, 3849, 411, 121, 118, 13, 1.71, 
5, 3873, 1118, 2, 1, 2, 3, 
5, 3882, 532, 48, 48, 94, 3, 
5, 3882, 1041, 45, 0, 0, 0, 
5, 3892, 909, 27, 0, 0, 0, 
5, 3904, 1176, 124, 124, 755, 5, 
5, 3908, 734, 35, 34, 29, 3, 
5, 3910, 1077, 26, 24, 9, 3, 
5, 3926, 874, 145, 0, 0, 0, 
5, 3968, 812, 4, 0, 0, 0, 
5, 3972, 977, 41, 35, 2, 1, 
5, 3992, 726, 17, 9, 1, 1, 
5, 3993, 1318, 21, 20, 5, 2, 
5, 4006, 969, 6, 1, 1, 2, 
5, 4007, 852, 8, 6, 3, 3, 
5, 4015, 1048, 16, 12, 3, 2, 
5, 4025, 765, 32, 0, 0, 0, 
5, 4025, 1039, 45, 0, 0, 0, 
5, 4039, 952, 52, 37, 4, 1, 
5, 4041, 751, 22, 21, 6, 2, 
5, 4045, 677, 65, 61, 14, 2, 
5, 4061, 1348, 28, 0, 0, 0, 
5, 4080, 708, 22, 22, 20, 3, 
5, 4103, 158, 4, 0, 0, 0, 
5, 4107, 805, 2, 1, 2, 2, 
5, 4111, 589, 30, 30, 26, 3, 
5, 4112, 1272, 95, 95, 433, 4, 
5, 4116, 509, 4, 2, 1, 3, 
5, 4119, 164, 7, 1, 1, 2, 
5, 4129, 1135, 87, 84, 25, 3, 
5, 4130, 1014, 31, 29, 11, 3, 
5, 4133, 623, 2, 2, 2, 3, 
5, 4133, 731, 20, 20, 8, 3, 
5, 4133, 1303, 24, 0, 0, 0, 
5, 4149, 154, 16, 14, 10, 3, 
5, 4153, 735, 49, 49, 25, 3, 
5, 4157, 736, 98, 1, 1, 3, 
5, 4161, 844, 64, 63, 26, 2, 
5, 4163, 536, 103, 102, 31, 1.77, 
5, 4167, 294, 71, 61, 4, 2, 
5, 4187, 1003, 33, 12, 2, 3, 
5, 4193, 184, 155, 139, 14, 2, 
5, 4196, 941, 35, 0, 0, 0, 
5, 4198, 465, 4, 4, 2, 1.5, 
5, 4207, 697, 18, 9, 1, 2, 
5, 4218, 701, 24, 24, 5, 2, 
5, 4218, 1244, 94, 94, 18, 2, 
5, 4227, 1213, 93, 88, 69, 3, 
5, 4237, 1315, 162, 0, 0, 0, 
5, 4238, 598, 157, 145, 17, 2, 
5, 4241, 1191, 45, 44, 18, 1.82, 
5, 4244, 1237, 34, 31, 14, 2, 
5, 4250, 1404, 2, 0, 0, 0, 
5, 4261, 1249, 26, 26, 30, 3, 
5, 4263, 411, 67, 29, 1, 1, 
5, 4264, 960, 44, 44, 36, 3, 
5, 4264, 1216, 95, 93, 48, 3, 
5, 4267, 319, 48, 19, 6, 3, 
5, 4273, 1050, 86, 80, 13, 1.9, 
5, 4275, 644, 96, 90, 8, 2, 
5, 4296, 1359, 48, 48, 50, 3, 
5, 4301, 203, 12, 0, 0, 0, 
5, 4301, 1229, 21, 17, 9, 3, 
5, 4304, 619, 112, 112, 83, 3, 
5, 4309, 532, 107, 77, 18, 2, 
5, 4310, 1193, 40, 38, 16, 2, 
5, 4313, 282, 99, 99, 38, 2, 
5, 4323, 1418, 85, 85, 298, 4, 
5, 4324, 256, 27, 17, 3, 2, 
5, 4329, 208, 34, 32, 30, 2.91, 
5, 4331, 1229, 19, 0, 0, 0, 
5, 4337, 789, 41, 39, 11, 1.77, 
5, 4339, 708, 2, 0, 0, 0, 
5, 4340, 1528, 70, 70, 260, 4, 
5, 4341, 1238, 50, 47, 15, 1.79, 
5, 4343, 798, 123, 76, 18, 1, 
5, 4343, 1239, 13, 0, 0, 0, 
5, 4351, 762, 16, 16, 9, 2, 
5, 4352, 1450, 175, 175, 156, 3, 
5, 4356, 346, 46, 44, 7, 2, 
5, 4356, 784, 126, 126, 247, 3, 
5, 4363, 310, 2, 0, 0, 0, 
5, 4364, 218, 100, 100, 74, 2.92, 
5, 4364, 1312, 33, 32, 28, 3, 
5, 4365, 619, 77, 76, 14, 2, 
5, 4366, 1417, 148, 148, 700, 4, 
5, 4370, 1508, 121, 121, 746, 5, 
5, 4386, 1538, 80, 79, 34, 2, 
5, 4387, 806, 2, 0, 0, 0, 
5, 4387, 1384, 263, 263, 78, 2, 
5, 4391, 565, 52, 52, 30, 3, 
5, 4398, 524, 26, 26, 158, 4, 
5, 4399, 945, 24, 3, 1, 1, 
5, 4401, 1160, 7, 5, 1, 1, 
5, 4409, 1537, 63, 58, 18, 2, 
5, 4411, 207, 28, 27, 29, 3, 
5, 4411, 1214, 9, 5, 2, 3, 
5, 4415, 729, 18, 18, 3, 3, 
5, 4417, 1388, 43, 41, 5, 2, 
5, 4418, 643, 77, 19, 1, 2, 
5, 4418, 1124, 2, 2, 8, 5, 
5, 4427, 581, 12, 12, 13, 3, 
5, 4433, 834, 63, 41, 7, 1.71, 
5, 4441, 942, 77, 75, 34, 1.99, 
5, 4442, 290, 24, 17, 11, 2, 
5, 4443, 1505, 31, 11, 1, 1, 
5, 4446, 1568, 7, 7, 12, 3, 
5, 4447, 1163, 19, 19, 6, 2, 
5, 4453, 1018, 173, 173, 206, 3, 
5, 4455, 1103, 2, 0, 0, 0, 
5, 4467, 1426, 33, 0, 0, 0, 
5, 4471, 654, 11, 7, 6, 1.71, 
5, 4479, 311, 30, 30, 3, 2, 
5, 4479, 915, 120, 120, 393, 4, 
5, 4479, 1397, 44, 38, 8, 2, 
5, 4491, 741, 29, 29, 137, 5, 
5, 4497, 1104, 47, 45, 6, 1.71, 
5, 4511, 1550, 30, 28, 33, 3, 
5, 4513, 891, 77, 77, 288, 4, 
5, 4515, 1349, 154, 73, 4, 2, 
5, 4516, 383, 34, 33, 10, 1.91, 
5, 4516, 918, 12, 12, 8, 3, 
5, 4518, 403, 87, 87, 67, 3, 
5, 4533, 395, 2, 1, 1, 3, 
5, 4547, 978, 11, 11, 67, 5, 
5, 4555, 897, 84, 81, 18, 2, 
5, 4556, 1326, 35, 23, 2, 2, 
5, 4562, 669, 60, 0, 0, 0, 
5, 4562, 788, 253, 248, 22, 2, 
5, 4562, 1038, 185, 185, 127, 3, 
5, 4563, 840, 60, 60, 23, 2, 
5, 4564, 975, 21, 21, 87, 4, 
5, 4567, 565, 5, 5, 26, 4, 
5, 4568, 883, 18, 3, 1, 2, 
5, 4570, 313, 29, 27, 34, 3, 
5, 4577, 1131, 174, 174, 899, 4.99, 
5, 4585, 357, 65, 0, 0, 0, 
5, 4585, 1125, 80, 0, 0, 0, 
5, 4589, 694, 2, 2, 1, 1, 
5, 4592, 348, 49, 49, 42, 3, 
5, 4600, 1356, 40, 39, 30, 3, 
5, 4605, 846, 4, 4, 24, 5, 
5, 4617, 592, 250, 250, 955, 4, 
5, 4619, 1389, 56, 56, 45, 3, 
5, 4622, 615, 146, 140, 32, 2, 
5, 4630, 1461, 61, 61, 258, 4, 
5, 4631, 452, 43, 43, 52, 3, 
5, 4645, 507, 58, 50, 10, 2, 
5, 4647, 1362, 12, 12, 7, 3, 
5, 4651, 1459, 22, 22, 26, 3, 
5, 4658, 695, 99, 96, 24, 2, 
5, 4665, 1138, 42, 42, 30, 3, 
5, 4666, 848, 3, 3, 3, 3, 
5, 4666, 1379, 81, 76, 31, 3, 
5, 4674, 1458, 2, 1, 1, 1, 
5, 4687, 557, 19, 19, 8, 2, 
5, 4691, 573, 83, 83, 42, 3, 
5, 4697, 432, 87, 0, 0, 0, 
5, 4708, 826, 39, 38, 7, 2, 
5, 4729, 756, 129, 69, 2, 1.17, 
5, 4731, 521, 23, 23, 9, 3, 
5, 4740, 1492, 88, 88, 419, 4, 
5, 4751, 506, 38, 38, 63, 3, 
5, 4756, 510, 56, 56, 271, 5, 
5, 4757, 416, 2, 2, 3, 3, 
5, 4760, 1318, 18, 16, 9, 3, 
5, 4762, 549, 143, 142, 33, 2, 
5, 4793, 533, 33, 30, 4, 2, 
5, 4798, 1208, 233, 56, 18, 2, 
5, 4804, 435, 78, 78, 82, 3, 
5, 4829, 1251, 121, 121, 796, 5, 
5, 4860, 1040, 79, 78, 24, 1.95, 
5, 4863, 445, 46, 46, 215, 4, 
5, 4867, 764, 11, 7, 1, 2, 
5, 4871, 672, 106, 97, 21, 2, 
5, 4882, 763, 98, 97, 53, 3, 
5, 4884, 1055, 64, 63, 74, 3, 
5, 4889, 941, 6, 3, 2, 2, 
5, 4892, 622, 24, 11, 4, 1.82, 
5, 4902, 1014, 39, 36, 13, 2, 
5, 4920, 733, 69, 68, 20, 3, 
5, 4927, 1034, 133, 133, 107, 3, 
5, 4933, 850, 35, 35, 11, 3, 
5, 4952, 1036, 53, 53, 26, 2.85, 
5, 4955, 540, 48, 48, 25, 2, 
5, 4974, 348, 150, 0, 0, 0, 
5, 4990, 1132, 51, 46, 2, 2, 
5, 5001, 708, 34, 31, 12, 3, 
5, 5009, 857, 40, 35, 12, 2, 
5, 5015, 572, 84, 83, 28, 2, 
5, 5020, 472, 221, 89, 3, 1, 
5, 5024, 672, 127, 127, 86, 3, 
5, 5034, 914, 145, 145, 168, 3, 
5, 5042, 1129, 17, 17, 92, 4, 
5, 5061, 832, 56, 56, 69, 3, 
5, 5069, 1186, 34, 33, 40, 3, 
5, 5075, 692, 54, 52, 10, 1.65, 
5, 5083, 751, 2, 2, 2, 2, 
5, 5092, 961, 65, 65, 34, 3, 
5, 5100, 678, 15, 0, 0, 0, 
5, 5100, 1038, 74, 74, 414, 5, 
5, 5104, 675, 24, 21, 3, 2, 
5, 5105, 915, 49, 49, 77, 2.98, 
