"time","ABIEBALS","ACERPENS","ACERRUBR","ACERSACC","BETUALLE","BETULENT","BETUPAPY","FAGUGRAN","FRAXAMER","PICERUBE","PINUSTRO","POPUTREM","PRUNPENS","PRUNSERO","QUERALBA","QUERRUBR","TILIAMER","TSUGCANA","woody","TotalBiomass","NA","NA","NA","NA","NA"
0,0.0192656379703492,0.00440506391792081,0.100487639232759,0.00888292799948636,0.676974169646202,0,0.0152246344854655,0.055096845264659,0.0048871486611525,0.0866412695980078,0,4.79127452991112e-09,2.8257975269312e-07,0.00583194637805417,0,0,0,0.0166955994078125,0.252376818382733,NA,NA,NA,NA,NA,NA
5,0.0199916138857576,0.00437036851915034,0.0925940463147204,0.00944667216113391,0.691604493752196,3.78008450452226e-06,0.00862132905038427,0.0543513515864837,0.00510021887230316,0.0884175387226324,8.23273444182045e-05,0.000150968773321842,5.23996462624802e-06,0.00579862257639054,0,8.96027633595068e-06,0,0.0159386726487187,0.300657033554422,NA,NA,NA,NA,NA,NA
10,0.0193057664463256,0.00457752164050438,0.08323438015441,0.0107566909758019,0.704465983932053,4.01347555778168e-06,0.00465234040660143,0.0541238513393806,0.00548194345379672,0.088978821744495,0.000164777812605431,0.000265260310386373,7.5566446155545e-06,0.00580430754578888,0,2.11585528968871e-05,0,0.0157872005603692,0.322338361616981,NA,NA,NA,NA,NA,NA
15,0.0222830337202042,0.00433256873423057,0.0734557841337869,0.0112292593913934,0.706870426193344,6.32590550766329e-06,0.00281718403232919,0.0539215729098221,0.00568607990656671,0.0960713254524725,0.000266390122326224,0.000408922412990726,1.3153573804326e-05,0.00567691950035757,7.78143036705597e-07,3.3013400564212e-05,0,0.0149400678025731,0.346544694204149,NA,NA,NA,NA,NA,NA
20,0.0203182255182348,0.00400063061172308,0.0623273546605364,0.0113640652256834,0.717839847909134,3.75007137465635e-05,0.00218179721279401,0.0547803469329984,0.00612322496646989,0.097630147075344,0.000374492060833749,0.000549172197706516,1.21398735263789e-05,0.00576689793319476,1.34973945735066e-06,4.14766063207487e-05,0,0.0148006481648345,0.376148604918403,NA,NA,NA,NA,NA,NA
25,0.019929443435219,0.00346713356784321,0.0495508687701789,0.010755599699221,0.727783420170764,7.4289009512364e-05,0.00272217775175727,0.0547071547918102,0.00651630814930248,0.101286374402064,0.000497321991276615,0.000676005190934631,1.16535000741752e-05,0.00575464674429815,2.55911492343906e-06,5.9791179098716e-05,0,0.0144509994172722,0.401107785159209,NA,NA,NA,NA,NA,NA
30,0.0199372393660331,0.00303173982840202,0.049007172399052,0.0114788726295861,0.725811482624777,9.21409005693028e-05,0.00186044662118668,0.0547010996704137,0.00668780466992655,0.104958584604942,0.000618548823507004,0.000713563905908713,1.72679452693902e-05,0.00556048269273499,2.45530248179589e-06,7.76578585737219e-05,7.46480660587496e-07,0.0138823501498771,0.428569603090209,NA,NA,NA,NA,NA,NA
35,0.0196007867138932,0.00258147810970738,0.0400719523478063,0.0118640495392841,0.733223345465709,0.000115683922612772,0.00168828567502802,0.0545293532373822,0.00697348594503638,0.107294944952948,0.000756137562422421,0.000674556434614409,8.84346754825033e-06,0.00544620189498331,4.30162280157939e-06,9.52597881021904e-05,1.32507341526524e-06,0.0137936273261326,0.455942225446487,NA,NA,NA,NA,NA,NA
40,0.0200204802489906,0.00216232439551733,0.0328025584368044,0.0114166300956721,0.734905993358461,0.000139400035513208,0.00199281864318144,0.0558150549693963,0.00729795793086551,0.111401543251725,0.00089110070190813,0.000560377467346909,1.49360548556641e-06,0.00546144134787144,4.44394739082595e-06,0.000116279601316011,1.40307544096713e-06,0.0140085835014812,0.484407971551212,NA,NA,NA,NA,NA,NA
45,0.0211144779033878,0.00169215994094043,0.0253034310594857,0.0119049731784869,0.73447745061586,0.000167378952450195,0.00150888781312037,0.0585758597973983,0.00747170639990454,0.114711359561662,0.00104761464017104,0.000424668565676345,3.61991037731442e-06,0.00568431262948039,5.44168750674072e-06,0.000146723384099739,1.44627798028401e-06,0.015049576002979,0.522570002502951,NA,NA,NA,NA,NA,NA
50,0.0193180895936592,0.00126653857578882,0.023259141885261,0.0120263944900951,0.722105294896888,0.000181639434708057,0.000914013186744226,0.0655453970769793,0.00734607552443723,0.115012816521137,0.00111949222732157,0.000248618481044965,3.13349685126687e-06,0.0058831184610174,5.2874797538566e-06,0.000162258723698618,1.4239543075477e-06,0.0251556779417317,0.530419502205815,NA,NA,NA,NA,NA,NA
55,0.0181013389951289,0.00104943898742884,0.0148208246108299,0.0126077471332525,0.72795812353182,0.000204372447792733,0.000402552027009637,0.0660186042720694,0.00750295863760202,0.117198946730188,0.00121963021389541,0.000127407803344541,2.36206330097977e-06,0.0060528261100188,8.21007355407428e-06,0.000178972987358895,1.47855983870134e-06,0.026264028443913,0.5427302634785,NA,NA,NA,NA,NA,NA
