"class","npixels","year","areaHa","scenario","rep"
"5",84853,2018,7636.77,"Current","Rep4"
"6",139789,2018,12581.01,"Current","Rep4"
"7",6365,2018,572.85,"Current","Rep4"
"8",6464,2018,581.76,"Current","Rep4"
"9",130884,2018,11779.56,"Current","Rep4"
"10",9473,2018,852.57,"Current","Rep4"
"11",136891,2018,12320.19,"Current","Rep4"
"12",44037,2018,3963.33,"Current","Rep4"
"13",725,2018,65.25,"Current","Rep4"
"0",711417,2019,64027.53,"Current","Rep4"
"1",969282,2019,87235.38,"Current","Rep4"
"2",90606,2019,8154.54,"Current","Rep4"
"3",426121,2019,38350.89,"Current","Rep4"
"4",98486,2019,8863.74,"Current","Rep4"
"5",84835,2019,7635.15,"Current","Rep4"
"6",139642,2019,12567.78,"Current","Rep4"
"7",6344,2019,570.96,"Current","Rep4"
"8",6484,2019,583.56,"Current","Rep4"
"9",129730,2019,11675.7,"Current","Rep4"
"10",9325,2019,839.25,"Current","Rep4"
"11",136418,2019,12277.62,"Current","Rep4"
"12",43822,2019,3943.98,"Current","Rep4"
"13",721,2019,64.89,"Current","Rep4"
"0",711319,2020,64018.71,"Current","Rep4"
"1",974311,2020,87687.99,"Current","Rep4"
"2",93160,2020,8384.4,"Current","Rep4"
"3",427307,2020,38457.63,"Current","Rep4"
"4",98617,2020,8875.53,"Current","Rep4"
"5",84801,2020,7632.09,"Current","Rep4"
"6",140048,2020,12604.32,"Current","Rep4"
"7",6389,2020,575.01,"Current","Rep4"
"8",6496,2020,584.64,"Current","Rep4"
"9",124574,2020,11211.66,"Current","Rep4"
"10",9318,2020,838.62,"Current","Rep4"
"11",132351,2020,11911.59,"Current","Rep4"
"12",43821,2020,3943.89,"Current","Rep4"
"13",721,2020,64.89,"Current","Rep4"
"0",711052,2021,63994.68,"Current","Rep4"
"1",980490,2021,88244.1,"Current","Rep4"
"2",93031,2021,8372.79,"Current","Rep4"
"3",425986,2021,38338.74,"Current","Rep4"
"4",98596,2021,8873.64,"Current","Rep4"
"5",82598,2021,7433.82,"Current","Rep4"
"6",142794,2021,12851.46,"Current","Rep4"
"7",6389,2021,575.01,"Current","Rep4"
"8",6536,2021,588.24,"Current","Rep4"
"9",123210,2021,11088.9,"Current","Rep4"
"10",9306,2021,837.54,"Current","Rep4"
"11",128699,2021,11582.91,"Current","Rep4"
"12",43825,2021,3944.25,"Current","Rep4"
"13",721,2021,64.89,"Current","Rep4"
"0",710826,2022,63974.34,"Current","Rep4"
"1",984182,2022,88576.38,"Current","Rep4"
"2",92830,2022,8354.7,"Current","Rep4"
"3",424678,2022,38221.02,"Current","Rep4"
"4",98676,2022,8880.84,"Current","Rep4"
"5",81451,2022,7330.59,"Current","Rep4"
"6",144267,2022,12984.03,"Current","Rep4"
"7",6391,2022,575.19,"Current","Rep4"
"8",6677,2022,600.93,"Current","Rep4"
"9",121869,2022,10968.21,"Current","Rep4"
"10",9296,2022,836.64,"Current","Rep4"
"11",127538,2022,11478.42,"Current","Rep4"
"12",43831,2022,3944.79,"Current","Rep4"
"13",721,2022,64.89,"Current","Rep4"
"0",710584,2023,63952.56,"Current","Rep4"
"1",986468,2023,88782.12,"Current","Rep4"
"2",92224,2023,8300.16,"Current","Rep4"
"3",424535,2023,38208.15,"Current","Rep4"
"4",98712,2023,8884.08,"Current","Rep4"
"5",80152,2023,7213.68,"Current","Rep4"
"6",149034,2023,13413.06,"Current","Rep4"
"7",6392,2023,575.28,"Current","Rep4"
