"class","npixels","year","areaHa","scenario","rep"
"0",698920,2010,62902.8,"Current","Rep3"
"1",954691,2010,85922.19,"Current","Rep3"
"2",98379,2010,8854.11,"Current","Rep3"
"3",416320,2010,37468.8,"Current","Rep3"
"4",98582,2010,8872.38,"Current","Rep3"
"5",85532,2010,7697.88,"Current","Rep3"
"6",136820,2010,12313.8,"Current","Rep3"
"7",6377,2010,573.93,"Current","Rep3"
"8",6018,2010,541.62,"Current","Rep3"
"9",151504,2010,13635.36,"Current","Rep3"
"10",10334,2010,930.06,"Current","Rep3"
"11",145003,2010,13050.27,"Current","Rep3"
"12",44017,2010,3961.53,"Current","Rep3"
"13",736,2010,66.24,"Current","Rep3"
"0",698920,2011,62902.8,"Current","Rep3"
"1",958546,2011,86269.14,"Current","Rep3"
"2",97883,2011,8809.47,"Current","Rep3"
"3",419084,2011,37717.56,"Current","Rep3"
"4",95902,2011,8631.18,"Current","Rep3"
"5",85357,2011,7682.13,"Current","Rep3"
"6",137890,2011,12410.1,"Current","Rep3"
"7",6377,2011,573.93,"Current","Rep3"
"8",6017,2011,541.53,"Current","Rep3"
"9",148941,2011,13404.69,"Current","Rep3"
"10",10322,2011,928.98,"Current","Rep3"
"11",143239,2011,12891.51,"Current","Rep3"
"12",44019,2011,3961.71,"Current","Rep3"
"13",736,2011,66.24,"Current","Rep3"
"0",698920,2012,62902.8,"Current","Rep3"
"1",959667,2012,86370.03,"Current","Rep3"
"2",97517,2012,8776.53,"Current","Rep3"
"3",420063,2012,37805.67,"Current","Rep3"
"4",94952,2012,8545.68,"Current","Rep3"
"5",85482,2012,7693.38,"Current","Rep3"
"6",139064,2012,12515.76,"Current","Rep3"
"7",6377,2012,573.93,"Current","Rep3"
"8",6374,2012,573.66,"Current","Rep3"
"9",147184,2012,13246.56,"Current","Rep3"
"10",10313,2012,928.17,"Current","Rep3"
"11",142560,2012,12830.4,"Current","Rep3"
"12",44024,2012,3962.16,"Current","Rep3"
"13",736,2012,66.24,"Current","Rep3"
"0",698920,2013,62902.8,"Current","Rep3"
"1",960006,2013,86400.54,"Current","Rep3"
"2",96505,2013,8685.45,"Current","Rep3"
"3",421519,2013,37936.71,"Current","Rep3"
"4",94870,2013,8538.3,"Current","Rep3"
"5",85102,2013,7659.18,"Current","Rep3"
"6",139619,2013,12565.71,"Current","Rep3"
