"class","npixels","year","areaHa","scenario","rep"
"0",5395484,2010,485593.56,"Current","Rep3"
"1",1670880,2010,150379.2,"Current","Rep3"
"2",174033,2010,15662.97,"Current","Rep3"
"3",567512,2010,51076.08,"Current","Rep3"
"4",114654,2010,10318.86,"Current","Rep3"
"5",102337,2010,9210.33,"Current","Rep3"
"6",250374,2010,22533.66,"Current","Rep3"
"7",66140,2010,5952.6,"Current","Rep3"
"8",151707,2010,13653.63,"Current","Rep3"
"9",360259,2010,32423.31,"Current","Rep3"
"10",42815,2010,3853.35,"Current","Rep3"
"11",338567,2010,30471.03,"Current","Rep3"
"12",279742,2010,25176.78,"Current","Rep3"
"13",5500,2010,495,"Current","Rep3"
"0",5395484,2011,485593.56,"Current","Rep3"
"1",1674914,2011,150742.26,"Current","Rep3"
"2",173560,2011,15620.4,"Current","Rep3"
"3",569604,2011,51264.36,"Current","Rep3"
"4",111904,2011,10071.36,"Current","Rep3"
"5",102084,2011,9187.56,"Current","Rep3"
"6",252571,2011,22731.39,"Current","Rep3"
"7",66144,2011,5952.96,"Current","Rep3"
"8",151637,2011,13647.33,"Current","Rep3"
"9",357323,2011,32159.07,"Current","Rep3"
"10",42650,2011,3838.5,"Current","Rep3"
"11",336877,2011,30318.93,"Current","Rep3"
"12",279752,2011,25177.68,"Current","Rep3"
"13",5500,2011,495,"Current","Rep3"
"0",5395484,2012,485593.56,"Current","Rep3"
"1",1676168,2012,150855.12,"Current","Rep3"
"2",173383,2012,15604.47,"Current","Rep3"
"3",569842,2012,51285.78,"Current","Rep3"
"4",109633,2012,9866.97,"Current","Rep3"
"5",102130,2012,9191.7,"Current","Rep3"
"6",254513,2012,22906.17,"Current","Rep3"
"7",66152,2012,5953.68,"Current","Rep3"
"8",153016,2012,13771.44,"Current","Rep3"
"9",355672,2012,32010.48,"Current","Rep3"
"10",42453,2012,3820.77,"Current","Rep3"
"11",336314,2012,30268.26,"Current","Rep3"
"12",279744,2012,25176.96,"Current","Rep3"
"13",5500,2012,495,"Current","Rep3"
"0",5395484,2013,485593.56,"Current","Rep3"
"1",1676903,2013,150921.27,"Current","Rep3"
"2",172376,2013,15513.84,"Current","Rep3"
"3",571253,2013,51412.77,"Current","Rep3"
