Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 63, 809, 68, 0, 0, 0, 
5, 66, 974, 45, 45, 168, 5, 
5, 116, 986, 49, 49, 80, 2.96, 
5, 125, 1166, 55, 32, 7, 2, 
5, 127, 874, 19, 4, 2, 1, 
5, 144, 1108, 122, 115, 60, 2.98, 
5, 147, 904, 6, 0, 0, 0, 
5, 151, 1109, 64, 64, 15, 1, 
5, 170, 557, 152, 152, 845, 4.99, 
5, 170, 899, 31, 0, 0, 0, 
5, 172, 1166, 24, 24, 21, 2.63, 
5, 173, 1023, 29, 27, 9, 3, 
5, 209, 1047, 94, 83, 40, 3, 
5, 210, 953, 13, 13, 32, 3, 
5, 215, 1160, 151, 0, 0, 0, 
5, 217, 961, 42, 42, 24, 1, 
5, 227, 662, 78, 55, 5, 2, 
5, 228, 724, 54, 54, 28, 2, 
5, 231, 599, 170, 167, 47, 2, 
5, 236, 899, 144, 108, 6, 2, 
5, 240, 923, 320, 319, 117, 2.99, 
5, 241, 707, 75, 75, 35, 1.84, 
5, 247, 950, 8, 8, 22, 3, 
5, 248, 628, 20, 20, 78, 4, 
5, 252, 764, 38, 38, 32, 1.89, 
5, 282, 481, 67, 46, 11, 2, 
5, 285, 887, 73, 73, 272, 4, 
5, 291, 1253, 3, 0, 0, 0, 
5, 306, 696, 15, 13, 7, 2, 
5, 319, 773, 184, 184, 83, 1.78, 
5, 323, 919, 28, 18, 25, 3, 
5, 323, 1173, 7, 5, 4, 3, 
5, 324, 689, 15, 9, 6, 3, 
5, 330, 931, 58, 57, 46, 2, 
5, 330, 1262, 23, 23, 115, 5, 
5, 361, 860, 177, 177, 113, 2.99, 
5, 363, 1310, 67, 67, 26, 2.97, 
5, 370, 1106, 123, 119, 28, 1.73, 
5, 392, 1398, 21, 8, 3, 1, 
5, 394, 1380, 22, 22, 98, 5, 
5, 396, 831, 32, 30, 26, 1.97, 
5, 397, 673, 34, 0, 0, 0, 
5, 408, 640, 47, 0, 0, 0, 
5, 412, 1258, 67, 56, 19, 2, 
5, 418, 937, 15, 0, 0, 0, 
5, 435, 1373, 59, 59, 282, 5, 
5, 436, 1069, 9, 0, 0, 0, 
5, 447, 762, 87, 86, 90, 2.95, 
5, 463, 663, 38, 0, 0, 0, 
5, 463, 842, 65, 5, 2, 2.4, 
5, 467, 1071, 22, 20, 4, 3, 
5, 472, 692, 34, 25, 1, 2, 
5, 475, 949, 16, 13, 3, 2.77, 
5, 482, 1026, 19, 12, 3, 1, 
5, 483, 696, 137, 0, 0, 0, 
5, 486, 1116, 83, 78, 22, 2.46, 
5, 488, 1042, 5, 5, 11, 5, 
5, 491, 1297, 103, 98, 24, 1.96, 
5, 492, 1228, 86, 86, 63, 2, 
5, 495, 879, 36, 31, 12, 2, 
5, 504, 1078, 122, 105, 31, 1.9, 
5, 508, 735, 23, 0, 0, 0, 
5, 521, 836, 2, 0, 0, 0, 
5, 530, 1334, 58, 58, 171, 4, 
5, 531, 1304, 33, 31, 14, 2, 
5, 532, 694, 32, 23, 6, 2, 
5, 557, 588, 272, 272, 109, 3, 
5, 562, 1331, 8, 4, 1, 3, 
5, 575, 1146, 31, 26, 7, 2, 
5, 575, 1187, 11, 0, 0, 0, 
5, 581, 1169, 5, 5, 21, 5, 
5, 586, 1400, 121, 121, 117, 3, 
5, 592, 616, 21, 18, 4, 2, 
5, 596, 1120, 44, 36, 3, 2, 
5, 600, 613, 6, 0, 0, 0, 
5, 611, 1286, 92, 92, 407, 4.98, 
5, 629, 801, 50, 50, 230, 5, 
5, 636, 439, 44, 38, 15, 2, 
5, 656, 464, 48, 47, 59, 3, 
5, 658, 834, 5, 5, 20, 4, 
5, 661, 633, 48, 12, 1, 3, 
5, 662, 1037, 79, 79, 233, 3, 
5, 663, 595, 57, 57, 30, 2.91, 
5, 672, 812, 18, 0, 0, 0, 
5, 678, 1339, 54, 50, 9, 3, 
5, 681, 941, 228, 226, 90, 3, 
5, 681, 1208, 102, 0, 0, 0, 
5, 683, 935, 72, 0, 0, 0, 
5, 702, 990, 21, 19, 10, 1, 
5, 703, 1321, 13, 13, 5, 1.85, 
5, 710, 909, 6, 6, 7, 1, 
5, 712, 593, 311, 0, 0, 0, 
5, 720, 963, 129, 119, 81, 2.95, 
5, 724, 766, 10, 0, 0, 0, 
5, 725, 774, 55, 18, 3, 3, 
5, 727, 648, 24, 0, 0, 0, 
5, 730, 777, 56, 56, 21, 3, 
5, 731, 597, 79, 79, 384, 5, 
5, 734, 830, 7, 0, 0, 0, 
5, 753, 972, 27, 25, 8, 1, 
5, 763, 1284, 66, 66, 241, 4, 
5, 764, 1001, 54, 53, 45, 1.98, 
5, 766, 1192, 48, 47, 15, 1.98, 
5, 774, 1334, 51, 51, 17, 2, 
5, 778, 737, 12, 11, 8, 3, 
5, 778, 919, 29, 0, 0, 0, 
5, 784, 1057, 83, 75, 8, 2, 
5, 800, 987, 152, 150, 113, 1.97, 
5, 815, 1176, 54, 49, 9, 2.84, 
5, 827, 815, 94, 89, 64, 3, 
5, 828, 1012, 12, 11, 17, 3, 
5, 833, 955, 2, 2, 4, 3, 
5, 835, 902, 39, 39, 18, 3, 
5, 839, 1316, 34, 11, 1, 1, 
5, 848, 1362, 27, 4, 1, 1, 
5, 868, 807, 10, 0, 0, 0, 
