Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 28, 877, 19, 19, 9, 1.53, 
5, 32, 1054, 42, 29, 4, 3, 
5, 75, 939, 51, 51, 93, 3, 
5, 89, 1001, 11, 10, 5, 1.5, 
5, 125, 1120, 34, 34, 199, 4.94, 
5, 127, 1069, 36, 32, 18, 1.78, 
5, 130, 1088, 31, 31, 12, 1, 
5, 161, 612, 79, 77, 39, 2.95, 
5, 167, 1157, 70, 0, 0, 0, 
5, 184, 909, 6, 0, 0, 0, 
5, 215, 1169, 2, 0, 0, 0, 
5, 219, 838, 113, 112, 124, 3, 
5, 221, 468, 19, 0, 0, 0, 
5, 231, 494, 2, 1, 1, 2, 
5, 231, 807, 87, 63, 8, 1, 
5, 236, 953, 5, 3, 2, 2, 
5, 253, 1163, 2, 0, 0, 0, 
5, 274, 1090, 90, 90, 443, 4, 
5, 295, 1153, 30, 29, 13, 2, 
5, 295, 1237, 40, 39, 4, 1, 
5, 298, 865, 48, 48, 28, 2, 
5, 330, 682, 72, 69, 17, 2.77, 
5, 334, 917, 88, 86, 16, 2, 
5, 349, 854, 19, 19, 90, 4, 
5, 362, 626, 89, 86, 40, 3, 
5, 366, 866, 74, 63, 10, 1, 
5, 366, 912, 161, 0, 0, 0, 
5, 368, 1170, 96, 95, 55, 2, 
5, 399, 931, 2, 0, 0, 0, 
5, 401, 905, 81, 12, 2, 2, 
5, 404, 1121, 30, 0, 0, 0, 
5, 405, 472, 142, 138, 7, 1, 
5, 421, 565, 23, 18, 3, 1, 
5, 423, 1102, 54, 54, 265, 5, 
5, 445, 1311, 7, 6, 4, 3, 
5, 448, 1413, 75, 66, 19, 1.85, 
5, 456, 1374, 76, 76, 312, 5, 
5, 456, 1433, 55, 55, 85, 2.95, 
5, 473, 1157, 40, 40, 254, 5, 
5, 483, 1070, 33, 29, 5, 1, 
5, 498, 1031, 70, 70, 15, 3, 
5, 499, 1052, 55, 53, 5, 2.92, 
5, 512, 1273, 150, 150, 12, 1.17, 
5, 514, 1213, 2, 0, 0, 0, 
5, 539, 717, 5, 1, 1, 3, 
5, 541, 941, 2, 0, 0, 0, 
5, 542, 682, 159, 158, 114, 2.99, 
5, 544, 1318, 49, 49, 65, 3, 
5, 545, 769, 28, 27, 16, 2, 
5, 549, 1133, 6, 5, 3, 3, 
5, 554, 434, 79, 79, 54, 2, 
5, 563, 887, 84, 74, 56, 3, 
5, 569, 1129, 7, 0, 0, 0, 
5, 574, 966, 50, 50, 56, 2, 
