"time","ABIEBALS","ACERPENS","ACERRUBR","ACERSACC","BETUALLE","BETULENT","BETUPAPY","FAGUGRAN","FRAXAMER","PICERUBE","PINUSTRO","POPUTREM","PRUNPENS","PRUNSERO","QUERALBA","QUERRUBR","TILIAMER","TSUGCANA","woody","TotalBiomass","NA","NA","NA","NA","NA"
0,2413.78135476952,0,417.693674457252,53.7169495946899,281.55373378035,0,396.523821025884,2.9662805190288,33.0478642718428,3522.66737519444,6.0905595115023,0,0,221.010357387851,0,0,0,75.9906281098733,2664.18507067565,NA,NA,NA,NA,NA,NA
5,2289.19652662495,0.0077993772285689,393.604412443641,36.4385430684754,282.37014626288,0.0860878363113071,435.329420547528,3.58756618174317,21.8150349203855,3655.20237124643,7.19144818914963,0.265139534198403,0.284362936259246,241.338663890062,0,0.187135939019479,0,81.2459652466037,2936.34233765213,NA,NA,NA,NA,NA,NA
10,2116.08047404394,0.0407454849465625,373.181638619719,41.3347153096246,295.826232778261,0.107266131476792,494.149781458702,4.83948215001613,22.9621292864896,3749.9447730984,5.37441453421858,0.531637152998465,0.337169621292865,253.905944127742,0.0246702324262484,0.428956966431666,0,84.9349167391878,3202.08733829411,NA,NA,NA,NA,NA,NA
15,1940.88818016679,0.0901143588473289,367.391328131451,22.7368714391875,207.29800388077,0.138169845594914,587.961429692015,6.72013045991248,12.1665015275369,3834.04481463133,6.047229791099,0.76539922384609,0.379252332590207,281.801967219883,0.0347927503922054,0.598949302287177,0,93.7326500701841,3376.23281520931,NA,NA,NA,NA,NA,NA
20,1724.78514060267,0.136466112441877,357.115219710542,23.0060991565853,213.757181102679,0.184041546730007,664.517814368244,7.95836268845991,10.69365325389,3864.5029891906,6.5362024195334,1.01935425431269,0.329847621731516,288.860816441555,0.0384166347953864,0.713722095855392,0,95.1091104893416,3651.72754081201,NA,NA,NA,NA,NA,NA
25,1531.1674629789,0.223640086654598,337.821022642965,28.0169154524142,182.090195962054,0.361832408424093,741.507364651651,10.1766823950698,11.1899674550652,3850.54425220841,7.95526802583811,1.07768248409849,0.36843042407336,298.076950470368,0.0423974438871908,0.859146709400441,0,97.6120030467599,3805.36966693375,NA,NA,NA,NA,NA,NA
30,1330.57127733925,0.296651455352738,297.553804884065,32.4205311626377,167.674159266568,0.489495971057392,893.564360302582,10.9984583127775,12.2084463903963,3962.25150057556,3.5550279559283,1.25089417858905,0.463873129419503,218.386357095872,0.0604649728663049,1.18716082881105,0,104.223966041769,3974.28351628022,NA,NA,NA,NA,NA,NA
35,1176.32694405485,0.354163420082074,273.230242584801,36.1756791854969,169.624549374058,0.593112046127474,996.499600020778,8.69219261337073,12.9203262168199,4116.72976988208,4.17968936678614,1.41840943327619,0.273139057711288,191.686644849618,0.0542828943950964,1.50048309178744,0,108.940491403044,4086.73358267103,NA,NA,NA,NA,NA,NA
40,1025.75854029929,0.435442373326332,254.363255447624,40.328359149383,134.348406405881,0.665560514570753,1064.45762142295,7.6417957469152,13.1559569440798,4257.86183250197,4.22425833552113,1.52798109740089,0.104079810974009,178.811541086899,0.073636124967183,1.69030191651352,0,112.507849829352,4253.1620792859,NA,NA,NA,NA,NA,NA
45,895.090575366301,0.400252511856387,241.770383966558,44.8829533277455,123.173363182074,0.758182763413366,1114.446691352,7.21687373346206,13.5287258760994,4296.08563122659,4.5128006535601,1.45523219420072,0.0659713749164483,164.018280585233,0.0936840206677772,1.8393685081642,0,115.483698131624,4371.54575451179,NA,NA,NA,NA,NA,NA
