"time","ABIEBALS","ACERPENS","ACERRUBR","ACERSACC","BETUALLE","BETULENT","BETUPAPY","FAGUGRAN","FRAXAMER","PICERUBE","PINUSTRO","POPUTREM","PRUNPENS","PRUNSERO","QUERALBA","QUERRUBR","TILIAMER","TSUGCANA","woody","TotalBiomass","NA","NA","NA","NA","NA"
0,0.657430986851824,0,0.00358836583243549,4.45837529436627e-06,0.105576148589492,0,0.195332564252044,0.0327033840383582,1.86867427687603e-06,0,0,3.33691835156434e-09,0,0,0,0.00536032721883555,0,0,0.613335147664527,NA,NA,NA,NA,NA,NA
5,0.673538567012435,8.34710358872112e-06,0.00372817735044051,0.000429163986001374,0.0980440291007079,9.92875744682995e-06,0.195557758017728,0.0276657711487103,2.22092778242569e-05,0,8.51745740263337e-05,0.000116811435228321,2.29691210532194e-05,8.00706087565578e-06,0,3.07356599610579e-05,0,0.000115805998137981,0.827283701036546,NA,NA,NA,NA,NA,NA
10,0.646092342771313,3.41129100572419e-05,0.00365878392437385,0.000976154251118772,0.0965706068135567,3.79159581989217e-05,0.224879902635466,0.0256929021327333,5.98024264750344e-05,0,0.000144343407227652,0.000156553326683203,2.5726227907595e-05,2.42898422193982e-05,2.54772593497149e-06,6.80522718063171e-05,0,0.000194011927068663,1.23782538579335,NA,NA,NA,NA,NA,NA
15,0.637208357479424,5.64375941149467e-05,0.00349601410367332,0.00144794995880048,0.099924017570961,5.25018915065364e-05,0.229993444535276,0.0248631560580931,9.83485739452585e-05,0,0.00019093486565135,0.000157825814038176,3.81501848969471e-05,2.77877727701551e-05,0,8.75838546288378e-05,0,0.000263827898544788,1.79918808665248,NA,NA,NA,NA,NA,NA
20,0.625296744789331,7.2544862895142e-05,0.00338820057674588,0.0019218125819065,0.106494341103271,8.14440025759513e-05,0.235518662241541,0.0240617429015411,0.000124576957478935,0,0.000224296677340234,0.000158673751918059,4.32578813111572e-05,2.28047604370822e-05,0,0.000145933261994623,0,0.000361718468711881,2.47313791321825,NA,NA,NA,NA,NA,NA
25,0.617952752783085,0.00010782451705137,0.00351692045584256,0.00273109289237141,0.103778050783586,9.7595631309555e-05,0.244252452258576,0.0239270181178286,0.000170730043895751,0,0.000287406849322806,0.000161001488080014,3.73349397928255e-05,2.73973329484612e-05,0,0.000220847764626917,1.43035549421643e-06,0.000466464894835689,3.33914360002582,NA,NA,NA,NA,NA,NA
30,0.617614265727908,0.000165886795561617,0.00355554835600462,0.00349026883761862,0.0988289698794152,0.000124589959873606,0.248559092136022,0.0235219170510291,0.000216674635955101,0,0.000335349090690089,0.000183229874108814,6.46186275818672e-05,1.77858107136998e-05,4.05249003160251e-06,0.000294269673637325,5.70136525446455e-06,0.000611771230952286,4.29513008938926,NA,NA,NA,NA,NA,NA
35,0.660882837420191,0.000270364059151273,0.0031463471002905,0.00481713998847503,0.0830247425164975,0.000165878820516932,0.232233540346802,0.0104978520143483,0.000321600162342911,0,0.000406940766829481,0.000212147722083826,3.03393107381115e-05,2.59748332132646e-05,1.23614262159547e-05,0.000459428146848111,7.80515878379015e-06,0.00087904341039611,5.7233496329359,NA,NA,NA,NA,NA,NA
40,0.74808419348872,0.000296781433353011,0.00177410478755305,0.00635054068813348,0.0277365826892653,0.000205875567145178,0.204194327765547,0.00445057558690852,0.000551171341847547,0,0.00060555278759616,0.000264362391252507,1.28497836804568e-05,3.14424459545454e-05,1.20149181593929e-05,0.000743153613617855,1.35434984584709e-05,0.00128255021786472,8.0123286369384,NA,NA,NA,NA,NA,NA
45,0.739567959793569,0.000272171564932231,0.00243807185686226,0.00557820828758227,0.0320297902530023,0.000256913126011141,0.208704338342264,0.00475941039880694,0.000669658972317909,0,0.000682289644093869,0.000327874646930012,3.46978916184834e-05,3.88648672887913e-05,1.16353716053662e-05,0.000787508954634518,1.39207155584559e-05,0.00147089564269211,9.23638229028249,NA,NA,NA,NA,NA,NA
50,0.740826983793215,0.000256994875477488,0.00228344494336657,0.00603004748488634,0.0193779394136752,0.000285239287056895,0.223162089572246,0.00121601372256418,0.000720376225899708,0,0.000709853584543747,0.000373638521428729,7.04460226156089e-05,4.78294332389928e-05,1.1544920373595e-05,0.000798007553921996,1.6722505871207e-05,0.00169011045008927,10.5295165045149,NA,NA,NA,NA,NA,NA
55,0.716992564375949,0.000247504882652806,0.00224046167833386,0.00672329789725873,0.0183218111411811,0.000317536223641805,0.247193297916463,0.00138245285385783,0.000657530960514777,0,0.00066503812927076,0.000432676886866166,0.000105673314006864,4.54516730592555e-05,1.23163698702472e-05,0.000778870028179022,1.54151740822512e-05,0.00209467512769059,13.5660906975102,NA,NA,NA,NA,NA,NA
60,0.713272794858415,0.00023918612629708,0.00215783559966873,0.00685492811088854,0.0164433552764815,0.000325050595538288,0.252706847234586,0.00137915216055314,0.000722441614535061,0,0.000703816942274415,0.000442292703270727,8.47186987689713e-05,4.6526805460753e-05,1.20673496934827e-05,0.000846420470199623,1.23628666328409e-05,0.00201103955248642,31.0551114178724,NA,NA,NA,NA,NA,NA
65,0.702791815483508,0.00026132696962252,0.00224542905036318,0.00748103392005774,0.017726683596351,0.000362153076463094,0.260054495223411,0.00150335373044882,0.000807956730209798,0,0.000735938967928628,0.000426944212764762,7.72508837079976e-05,7.30678265012102e-05,2.17912528020064e-05,0.000929688871728196,8.30444092905078e-06,0.00205611577867188,51.5461157296453,NA,NA,NA,NA,NA,NA
70,0.689557792343658,0.000308432610179071,0.00239311985671028,0.00885783291303743,0.0194305043386279,0.000358768010974554,0.26797643841057,0.00177426205734737,0.000897896254918319,0,0.000769185468050222,0.000422227087199705,9.24610661252615e-05,5.72465281884879e-05,1.73095271299966e-05,0.00101049824974725,1.35602721242764e-05,0.0021731482957812,102.7700097299,NA,NA,NA,NA,NA,NA
75,0.690236636295372,0.000403570658310085,0.00266117991628554,0.0111962131880352,0.022424298954029,0.000371465268032949,0.258964022662914,0.00221972885002167,0.000969993158812828,0,0.000859536075381529,0.000448271387592687,0.000120429893778552,9.52465394403454e-05,1.67171795540403e-05,0.00116812838401276,1.61509857892524e-05,0.00264460124137084,40.1979925704528,NA,NA,NA,NA,NA,NA
80,0.675593446761039,0.000456393057771278,0.00334890688677176,0.0144648975977272,0.0216050233697715,0.000414025886794947,0.268872672984989,0.0029316415158975,0.00123433765671922,0,0.000988765119636533,0.000450860595811742,0.000119063172786659,0.000139721396536606,1.55385729750291e-05,0.00125294556282574,2.08415320521487e-05,0.00307355737518233,33.7585653689768,NA,NA,NA,NA,NA,NA
85,0.659758314551585,0.000502322453207191,0.00372328856155449,0.0164404031454601,0.0243894342033289,0.000409710734351374,0.278959688748766,0.00389436109735875,0.00150361070023754,0,0.000982771975526297,0.000454462215068625,0.000100537778056217,0.000155754945843143,1.63692030314964e-05,0.00138128495035951,2.29079969325842e-05,0.00326562167064393,41.438412480473,NA,NA,NA,NA,NA,NA
90,0.648432835324387,0.000525778577563808,0.00388459108074277,0.0134511221448206,0.0260623972204522,0.000438841073472871,0.291816251280953,0.00332983800684771,0.00157704347199213,0,0.0010688549472104,0.000492368029760203,0.000127224040570098,0.000235188884116877,2.29164815167137e-05,0.00143590946382955,2.41035180189238e-05,0.00361641742051386,46.0296438680699,NA,NA,NA,NA,NA,NA
95,0.635167724458919,0.000576975345514639,0.00371986267599954,0.0137529192830235,0.025821111522121,0.000480903424375017,0.305559255240222,0.00296379806879878,0.00146908542839379,0,0.00114600590114539,0.000534125017064261,0.000125276573987493,0.000471610215304464,2.98196912980822e-05,0.00146680107985147,2.04970048929619e-05,0.00379389411669896,55.2977718093134,NA,NA,NA,NA,NA,NA
100,0.622275778467526,0.000587039067391955,0.00417192519208209,0.0156283593616555,0.0315697741897724,0.00047832608169191,0.309609981615057,0.00365079104296506,0.00142245402612777,0,0.00112230097768145,0.000521232788116381,0.000154068331333135,0.000780606047267883,3.39194947715223e-05,0.00142498429225388,2.58529285933602e-05,0.00423345756299091,65.4663132235305,NA,NA,NA,NA,NA,NA
105,0.613187844669281,0.000356802904585522,0.00351116500607065,0.0162703917306159,0.0370966249710501,0.000481934896314314,0.312135423949558,0.00471872586831418,0.00151604607355145,0,0.00111189865004617,0.000554494868834636,0.000169470809687859,0.000560441082402342,3.61982290764009e-05,0.00130760927960062,2.53546953551221e-05,0.00494812897141752,87.0383939328797,NA,NA,NA,NA,NA,NA
110,0.604473250312763,0.000256525455059794,0.00354376772328787,0.0159169669180781,0.0347597676223702,0.000467803858023336,0.32236152601052,0.00529699768009575,0.00165118033683409,0,0.00112867380850577,0.00057762072868959,0.000172411057719537,0.000368278871405047,4.50436314109479e-05,0.00151347904812685,2.63071004643941e-05,0.00573536114648992,96.8928052359684,NA,NA,NA,NA,NA,NA
115,0.600578478919164,0.000235855093999276,0.00362732115132988,0.0128367468455936,0.0333298781146318,0.000489432193661634,0.32944142915183,0.00536571141331113,0.00175794308292589,0,0.00110486929572896,0.000712426801136036,0.000335374225647021,0.000364134351992673,4.06136805344723e-05,0.00158667867009404,2.88058543071883e-05,0.00646945931419414,117.450336459957,NA,NA,NA,NA,NA,NA
120,0.594162534826645,0.000178522208454682,0.003455987695757,0.0134210515770761,0.0311365689771595,0.000543066900861744,0.336809141460982,0.00565299471620391,0.00181632110795953,0,0.00116339216741111,0.000678461757008548,0.00032465524332067,0.000243255785491656,5.03863840042772e-05,0.0018266778126803,3.84162528712448e-05,0.00682724611033212,107.488092403843,NA,NA,NA,NA,NA,NA
125,0.587710793916738,0.000250792659219578,0.00350028966735839,0.0153470332463653,0.032566057396741,0.000542739878659734,0.337237241312783,0.00670150717783163,0.00192048181230752,0,0.0012059088771148,0.000660842250835922,0.000297943950241196,0.000280465127888489,3.86421397452751e-05,0.00266845545412832,3.40365941944771e-05,0.00749061437074514,113.153743015702,NA,NA,NA,NA,NA,NA
130,0.580534917466814,0.000272943408224303,0.00359617389626554,0.018362567918563,0.0362742720016069,0.000549059665044624,0.334857626746967,0.00839880081376594,0.00220405259457475,0,0.0013434072927764,0.000765690282350339,0.000351803359639265,0.000252787788927049,4.79982864951642e-05,0.0020745746097578,2.52396119680608e-05,0.00854998400159509,142.82944808085,NA,NA,NA,NA,NA,NA
135,0.571063765159678,0.000284782687292835,0.00351161099103204,0.0205900825115291,0.0383476050146378,0.000570074032937808,0.336526522177435,0.0106171767549103,0.0025825304948304,0,0.00124420759277801,0.000805267788520911,0.000435038536729071,0.000249777671168312,5.21033262740396e-05,0.00200168788303535,2.39328383565953e-05,0.00951900390180533,87.5335554818067,NA,NA,NA,NA,NA,NA
