"class","npixels","year","areaHa","scenario","rep"
"4",113896,2018,10250.64,"Current","Rep1"
"5",101850,2018,9166.5,"Current","Rep1"
"6",255043,2018,22953.87,"Current","Rep1"
"7",66105,2018,5949.45,"Current","Rep1"
"8",153229,2018,13790.61,"Current","Rep1"
"9",332323,2018,29909.07,"Current","Rep1"
"10",39610,2018,3564.9,"Current","Rep1"
"11",329551,2018,29659.59,"Current","Rep1"
"12",279311,2018,25137.99,"Current","Rep1"
"13",5495,2018,494.55,"Current","Rep1"
"0",5415064,2019,487355.76,"Current","Rep1"
"1",1690203,2019,152118.27,"Current","Rep1"
"2",166303,2019,14967.27,"Current","Rep1"
"3",580162,2019,52214.58,"Current","Rep1"
"4",113827,2019,10244.43,"Current","Rep1"
"5",102269,2019,9204.21,"Current","Rep1"
"6",255120,2019,22960.8,"Current","Rep1"
"7",66026,2019,5942.34,"Current","Rep1"
"8",152983,2019,13768.47,"Current","Rep1"
"9",326663,2019,29399.67,"Current","Rep1"
"10",38869,2019,3498.21,"Current","Rep1"
"11",328468,2019,29562.12,"Current","Rep1"
"12",278563,2019,25070.67,"Current","Rep1"
"13",5484,2019,493.56,"Current","Rep1"
"0",5414627,2020,487316.43,"Current","Rep1"
"1",1694470,2020,152502.3,"Current","Rep1"
"2",168794,2020,15191.46,"Current","Rep1"
"3",581149,2020,52303.41,"Current","Rep1"
"4",113939,2020,10254.51,"Current","Rep1"
"5",102266,2020,9203.94,"Current","Rep1"
"6",256227,2020,23060.43,"Current","Rep1"
"7",66051,2020,5944.59,"Current","Rep1"
"8",152984,2020,13768.56,"Current","Rep1"
"9",321050,2020,28894.5,"Current","Rep1"
"10",38607,2020,3474.63,"Current","Rep1"
"11",325791,2020,29321.19,"Current","Rep1"
"12",278566,2020,25070.94,"Current","Rep1"
"13",5483,2020,493.47,"Current","Rep1"
"0",5414044,2021,487263.96,"Current","Rep1"
"1",1706230,2021,153560.7,"Current","Rep1"
"2",168572,2021,15171.48,"Current","Rep1"
"3",579434,2021,52149.06,"Current","Rep1"
"4",113981,2021,10258.29,"Current","Rep1"
"5",100026,2021,9002.34,"Current","Rep1"
"6",259405,2021,23346.45,"Current","Rep1"
"7",66063,2021,5945.67,"Current","Rep1"
"8",153062,2021,13775.58,"Current","Rep1"
"9",319666,2021,28769.94,"Current","Rep1"
"10",37968,2021,3417.12,"Current","Rep1"
"11",317486,2021,28573.74,"Current","Rep1"
"12",278585,2021,25072.65,"Current","Rep1"
"13",5482,2021,493.38,"Current","Rep1"
"0",5413425,2022,487208.25,"Current","Rep1"
"1",1711644,2022,154047.96,"Current","Rep1"
"2",168343,2022,15150.87,"Current","Rep1"
"3",578130,2022,52031.7,"Current","Rep1"
"4",113974,2022,10257.66,"Current","Rep1"
"5",98976,2022,8907.84,"Current","Rep1"
"6",261840,2022,23565.6,"Current","Rep1"
"7",66072,2022,5946.48,"Current","Rep1"
"8",153193,2022,13787.37,"Current","Rep1"
"9",318041,2022,28623.69,"Current","Rep1"
"10",37574,2022,3381.66,"Current","Rep1"
"11",314691,2022,28322.19,"Current","Rep1"
"12",278619,2022,25075.71,"Current","Rep1"
"13",5482,2022,493.38,"Current","Rep1"
"0",5412939,2023,487164.51,"Current","Rep1"
"1",1723203,2023,155088.27,"Current","Rep1"
"2",167792,2023,15101.28,"Current","Rep1"
"3",577707,2023,51993.63,"Current","Rep1"
"4",114086,2023,10267.74,"Current","Rep1"
"5",97603,2023,8784.27,"Current","Rep1"
"6",266874,2023,24018.66,"Current","Rep1"
"7",66079,2023,5947.11,"Current","Rep1"
"8",153227,2023,13790.43,"Current","Rep1"
"9",313825,2023,28244.25,"Current","Rep1"
"10",37299,2023,3356.91,"Current","Rep1"
"11",305176,2023,27465.84,"Current","Rep1"
"12",278711,2023,25083.99,"Current","Rep1"
"13",5483,2023,493.47,"Current","Rep1"
"0",5422523,2024,488027.07,"Current","Rep1"
"1",1720851,2024,154876.59,"Current","Rep1"
"2",167573,2024,15081.57,"Current","Rep1"
"3",577865,2024,52007.85,"Current","Rep1"
"4",114059,2024,10265.31,"Current","Rep1"
"5",96888,2024,8719.92,"Current","Rep1"
"6",266634,2024,23997.06,"Current","Rep1"
"7",66011,2024,5940.99,"Current","Rep1"
"8",152986,2024,13768.74,"Current","Rep1"
"9",310361,2024,27932.49,"Current","Rep1"
"10",36497,2024,3284.73,"Current","Rep1"
"11",304226,2024,27380.34,"Current","Rep1"
"12",278073,2024,25026.57,"Current","Rep1"
"13",5457,2024,491.13,"Current","Rep1"
"0",5421861,2025,487967.49,"Current","Rep1"
"1",1722609,2025,155034.81,"Current","Rep1"
"2",167580,2025,15082.2,"Current","Rep1"
"3",579334,2025,52140.06,"Current","Rep1"
"4",114329,2025,10289.61,"Current","Rep1"
"5",96838,2025,8715.42,"Current","Rep1"
"6",267271,2025,24054.39,"Current","Rep1"
"7",66030,2025,5942.7,"Current","Rep1"
"8",152991,2025,13769.19,"Current","Rep1"
"9",307275,2025,27654.75,"Current","Rep1"
"10",36320,2025,3268.8,"Current","Rep1"
"11",304012,2025,27361.08,"Current","Rep1"
"12",278097,2025,25028.73,"Current","Rep1"
"13",5457,2025,491.13,"Current","Rep1"
"0",5421073,2026,487896.57,"Current","Rep1"
"1",1724082,2026,155167.38,"Current","Rep1"
"2",167568,2026,15081.12,"Current","Rep1"
"3",578332,2026,52049.88,"Current","Rep1"
"4",114421,2026,10297.89,"Current","Rep1"
"5",96917,2026,8722.53,"Current","Rep1"
"6",270364,2026,24332.76,"Current","Rep1"
"7",66054,2026,5944.86,"Current","Rep1"
"8",152992,2026,13769.28,"Current","Rep1"
"9",304454,2026,27400.86,"Current","Rep1"
"10",36126,2026,3251.34,"Current","Rep1"
"11",304011,2026,27360.99,"Current","Rep1"
"12",278153,2026,25033.77,"Current","Rep1"
"13",5457,2026,491.13,"Current","Rep1"
"0",5420289,2027,487826.01,"Current","Rep1"
"1",1726279,2027,155365.11,"Current","Rep1"
"2",168446,2027,15160.14,"Current","Rep1"
"3",576658,2027,51899.22,"Current","Rep1"
"4",114490,2027,10304.1,"Current","Rep1"
"5",97345,2027,8761.05,"Current","Rep1"
"6",271783,2027,24460.47,"Current","Rep1"
"7",66084,2027,5947.56,"Current","Rep1"
"8",152969,2027,13767.21,"Current","Rep1"
"9",301941,2027,27174.69,"Current","Rep1"
"10",35942,2027,3234.78,"Current","Rep1"
"11",304057,2027,27365.13,"Current","Rep1"
"12",278264,2027,25043.76,"Current","Rep1"
"13",5457,2027,491.13,"Current","Rep1"
"0",5419600,2028,487764,"Current","Rep1"
"1",1731925,2028,155873.25,"Current","Rep1"
"2",168308,2028,15147.72,"Current","Rep1"
"3",574872,2028,51738.48,"Current","Rep1"
"4",114597,2028,10313.73,"Current","Rep1"
"5",98920,2028,8902.8,"Current","Rep1"
