"class","npixels","year","areaHa","scenario","rep"
"3",574417,2018,51697.53,"Current","Rep1"
"4",113641,2018,10227.69,"Current","Rep1"
"5",101985,2018,9178.65,"Current","Rep1"
"6",259947,2018,23395.23,"Current","Rep1"
"7",66062,2018,5945.58,"Current","Rep1"
"8",152761,2018,13748.49,"Current","Rep1"
"9",332182,2018,29896.38,"Current","Rep1"
"10",38406,2018,3456.54,"Current","Rep1"
"11",330915,2018,29782.35,"Current","Rep1"
"12",279292,2018,25136.28,"Current","Rep1"
"13",5491,2018,494.19,"Current","Rep1"
"0",5413770,2019,487239.3,"Current","Rep1"
"1",1690451,2019,152140.59,"Current","Rep1"
"2",166333,2019,14969.97,"Current","Rep1"
"3",575552,2019,51799.68,"Current","Rep1"
"4",113659,2019,10229.31,"Current","Rep1"
"5",102496,2019,9224.64,"Current","Rep1"
"6",261230,2019,23510.7,"Current","Rep1"
"7",66032,2019,5942.88,"Current","Rep1"
"8",152575,2019,13731.75,"Current","Rep1"
"9",326399,2019,29375.91,"Current","Rep1"
"10",37483,2019,3373.47,"Current","Rep1"
"11",329944,2019,29694.96,"Current","Rep1"
"12",278598,2019,25073.82,"Current","Rep1"
"13",5482,2019,493.38,"Current","Rep1"
"0",5413022,2020,487171.98,"Current","Rep1"
"1",1695808,2020,152622.72,"Current","Rep1"
"2",168678,2020,15181.02,"Current","Rep1"
"3",576879,2020,51919.11,"Current","Rep1"
"4",114055,2020,10264.95,"Current","Rep1"
"5",102427,2020,9218.43,"Current","Rep1"
"6",262086,2020,23587.74,"Current","Rep1"
"7",66091,2020,5948.19,"Current","Rep1"
"8",152602,2020,13734.18,"Current","Rep1"
"9",320852,2020,28876.68,"Current","Rep1"
"10",37241,2020,3351.69,"Current","Rep1"
"11",326180,2020,29356.2,"Current","Rep1"
"12",278600,2020,25074,"Current","Rep1"
"13",5483,2020,493.47,"Current","Rep1"
"0",5411950,2021,487075.5,"Current","Rep1"
"1",1705941,2021,153534.69,"Current","Rep1"
"2",168461,2021,15161.49,"Current","Rep1"
"3",574692,2021,51722.28,"Current","Rep1"
"4",114193,2021,10277.37,"Current","Rep1"
"5",100407,2021,9036.63,"Current","Rep1"
"6",265662,2021,23909.58,"Current","Rep1"
"7",66123,2021,5951.07,"Current","Rep1"
"8",152663,2021,13739.67,"Current","Rep1"
"9",319512,2021,28756.08,"Current","Rep1"
"10",36763,2021,3308.67,"Current","Rep1"
"11",319516,2021,28756.44,"Current","Rep1"
"12",278639,2021,25077.51,"Current","Rep1"
"13",5482,2021,493.38,"Current","Rep1"
"0",5410975,2022,486987.75,"Current","Rep1"
"1",1711662,2022,154049.58,"Current","Rep1"
"2",168226,2022,15140.34,"Current","Rep1"
"3",572630,2022,51536.7,"Current","Rep1"
"4",114297,2022,10286.73,"Current","Rep1"
"5",99498,2022,8954.82,"Current","Rep1"
"6",268379,2022,24154.11,"Current","Rep1"
"7",66146,2022,5953.14,"Current","Rep1"
"8",152783,2022,13750.47,"Current","Rep1"
"9",318066,2022,28625.94,"Current","Rep1"
"10",36046,2022,3244.14,"Current","Rep1"
"11",317153,2022,28543.77,"Current","Rep1"
"12",278661,2022,25079.49,"Current","Rep1"
"13",5482,2022,493.38,"Current","Rep1"
"0",5410047,2023,486904.23,"Current","Rep1"
"1",1723188,2023,155086.92,"Current","Rep1"
"2",167634,2023,15087.06,"Current","Rep1"
"3",571777,2023,51459.93,"Current","Rep1"
"4",114275,2023,10284.75,"Current","Rep1"
"5",98359,2023,8852.31,"Current","Rep1"
"6",274156,2023,24674.04,"Current","Rep1"
"7",66169,2023,5955.21,"Current","Rep1"
"8",152763,2023,13748.67,"Current","Rep1"
"9",314005,2023,28260.45,"Current","Rep1"
"10",35677,2023,3210.93,"Current","Rep1"
"11",307708,2023,27693.72,"Current","Rep1"
"12",278762,2023,25088.58,"Current","Rep1"
"13",5484,2023,493.56,"Current","Rep1"
"0",5418688,2024,487681.92,"Current","Rep1"
"1",1721000,2024,154890,"Current","Rep1"
"2",167983,2024,15118.47,"Current","Rep1"
"3",570814,2024,51373.26,"Current","Rep1"
"4",114339,2024,10290.51,"Current","Rep1"
"5",97482,2024,8773.38,"Current","Rep1"
"6",275212,2024,24769.08,"Current","Rep1"
"7",66017,2024,5941.53,"Current","Rep1"
"8",152664,2024,13739.76,"Current","Rep1"
"9",310526,2024,27947.34,"Current","Rep1"
"10",34696,2024,3122.64,"Current","Rep1"
"11",306910,2024,27621.9,"Current","Rep1"
"12",278217,2024,25039.53,"Current","Rep1"
"13",5456,2024,491.04,"Current","Rep1"
"0",5417827,2025,487604.43,"Current","Rep1"
"1",1722656,2025,155039.04,"Current","Rep1"
"2",167623,2025,15086.07,"Current","Rep1"
"3",572688,2025,51541.92,"Current","Rep1"
"4",114839,2025,10335.51,"Current","Rep1"
"5",97455,2025,8770.95,"Current","Rep1"
"6",276022,2025,24841.98,"Current","Rep1"
"7",66026,2025,5942.34,"Current","Rep1"
"8",152652,2025,13738.68,"Current","Rep1"
"9",307315,2025,27658.35,"Current","Rep1"
"10",34396,2025,3095.64,"Current","Rep1"
"11",306831,2025,27614.79,"Current","Rep1"
"12",278218,2025,25039.62,"Current","Rep1"
"13",5456,2025,491.04,"Current","Rep1"
"0",5416733,2026,487505.97,"Current","Rep1"
"1",1723767,2026,155139.03,"Current","Rep1"
"2",167610,2026,15084.9,"Current","Rep1"
"3",571748,2026,51457.32,"Current","Rep1"
"4",115120,2026,10360.8,"Current","Rep1"
"5",97651,2026,8788.59,"Current","Rep1"
"6",279438,2026,25149.42,"Current","Rep1"
"7",66044,2026,5943.96,"Current","Rep1"
"8",152630,2026,13736.7,"Current","Rep1"
"9",304427,2026,27398.43,"Current","Rep1"
"10",34203,2026,3078.27,"Current","Rep1"
"11",306938,2026,27624.42,"Current","Rep1"
"12",278238,2026,25041.42,"Current","Rep1"
"13",5457,2026,491.13,"Current","Rep1"
"0",5415745,2027,487417.05,"Current","Rep1"
"1",1725825,2027,155324.25,"Current","Rep1"
"2",168439,2027,15159.51,"Current","Rep1"
"3",570128,2027,51311.52,"Current","Rep1"
"4",115435,2027,10389.15,"Current","Rep1"
"5",98081,2027,8827.29,"Current","Rep1"
"6",280882,2027,25279.38,"Current","Rep1"
"7",66059,2027,5945.31,"Current","Rep1"
"8",152578,2027,13732.02,"Current","Rep1"
"9",302121,2027,27190.89,"Current","Rep1"
"10",33976,2027,3057.84,"Current","Rep1"
"11",306977,2027,27627.93,"Current","Rep1"
"12",278298,2027,25046.82,"Current","Rep1"
"13",5460,2027,491.4,"Current","Rep1"
"0",5414749,2028,487327.41,"Current","Rep1"
"1",1731214,2028,155809.26,"Current","Rep1"
"2",168252,2028,15142.68,"Current","Rep1"
"3",568130,2028,51131.7,"Current","Rep1"
"4",115702,2028,10413.18,"Current","Rep1"
"5",99482,2028,8953.38,"Current","Rep1"
"6",282205,2028,25398.45,"Current","Rep1"
"7",66081,2028,5947.29,"Current","Rep1"
"8",152531,2028,13727.79,"Current","Rep1"
"9",300522,2028,27046.98,"Current","Rep1"
