"class","npixels","year","areaHa","scenario","rep"
"0",698920,2010,62902.8,"Current","Rep1"
"1",952920,2010,85762.8,"Current","Rep1"
"2",99275,2010,8934.75,"Current","Rep1"
"3",416651,2010,37498.59,"Current","Rep1"
"4",98328,2010,8849.52,"Current","Rep1"
"5",85671,2010,7710.39,"Current","Rep1"
"6",137463,2010,12371.67,"Current","Rep1"
"7",6378,2010,574.02,"Current","Rep1"
"8",6018,2010,541.62,"Current","Rep1"
"9",151512,2010,13636.08,"Current","Rep1"
"10",10343,2010,930.87,"Current","Rep1"
"11",145000,2010,13050,"Current","Rep1"
"12",44018,2010,3961.62,"Current","Rep1"
"13",736,2010,66.24,"Current","Rep1"
"0",698920,2011,62902.8,"Current","Rep1"
"1",958577,2011,86271.93,"Current","Rep1"
"2",97892,2011,8810.28,"Current","Rep1"
"3",418695,2011,37682.55,"Current","Rep1"
"4",95582,2011,8602.38,"Current","Rep1"
"5",85474,2011,7692.66,"Current","Rep1"
"6",138447,2011,12460.23,"Current","Rep1"
"7",6377,2011,573.93,"Current","Rep1"
"8",6018,2011,541.62,"Current","Rep1"
"9",148916,2011,13402.44,"Current","Rep1"
"10",10329,2011,929.61,"Current","Rep1"
"11",143246,2011,12892.14,"Current","Rep1"
"12",44024,2011,3962.16,"Current","Rep1"
"13",736,2011,66.24,"Current","Rep1"
"0",698920,2012,62902.8,"Current","Rep1"
"1",959732,2012,86375.88,"Current","Rep1"
"2",97492,2012,8774.28,"Current","Rep1"
"3",419838,2012,37785.42,"Current","Rep1"
"4",94531,2012,8507.79,"Current","Rep1"
"5",85598,2012,7703.82,"Current","Rep1"
"6",139554,2012,12559.86,"Current","Rep1"
"7",6378,2012,574.02,"Current","Rep1"
"8",6375,2012,573.75,"Current","Rep1"
"9",147164,2012,13244.76,"Current","Rep1"
"10",10320,2012,928.8,"Current","Rep1"
"11",142564,2012,12830.76,"Current","Rep1"
"12",44031,2012,3962.79,"Current","Rep1"
"13",736,2012,66.24,"Current","Rep1"
"0",698920,2013,62902.8,"Current","Rep1"
"1",961041,2013,86493.69,"Current","Rep1"
"2",96519,2013,8686.71,"Current","Rep1"
"3",420246,2013,37822.14,"Current","Rep1"
"4",94454,2013,8500.86,"Current","Rep1"
"5",85214,2013,7669.26,"Current","Rep1"
"6",140163,2013,12614.67,"Current","Rep1"
"7",6378,2013,574.02,"Current","Rep1"
"8",6374,2013,573.66,"Current","Rep1"
"9",146815,2013,13213.35,"Current","Rep1"
"10",9785,2013,880.65,"Current","Rep1"
"11",142557,2013,12830.13,"Current","Rep1"
"12",44031,2013,3962.79,"Current","Rep1"
"13",736,2013,66.24,"Current","Rep1"
"0",704526,2014,63407.34,"Current","Rep1"
"1",962966,2014,86666.94,"Current","Rep1"
"2",95102,2014,8559.18,"Current","Rep1"
"3",419447,2014,37750.23,"Current","Rep1"
"4",94364,2014,8492.76,"Current","Rep1"
"5",85157,2014,7664.13,"Current","Rep1"
"6",141026,2014,12692.34,"Current","Rep1"
"7",6363,2014,572.67,"Current","Rep1"
"8",6411,2014,576.99,"Current","Rep1"
"9",141581,2014,12742.29,"Current","Rep1"
"10",9435,2014,849.15,"Current","Rep1"
"11",142205,2014,12798.45,"Current","Rep1"
"12",43914,2014,3952.26,"Current","Rep1"
"13",736,2014,66.24,"Current","Rep1"
"0",705362,2015,63482.58,"Current","Rep1"
"1",964609,2015,86814.81,"Current","Rep1"
"2",94928,2015,8543.52,"Current","Rep1"
"3",422549,2015,38029.41,"Current","Rep1"
"4",97850,2015,8806.5,"Current","Rep1"
"5",85205,2015,7668.45,"Current","Rep1"
"6",140524,2015,12647.16,"Current","Rep1"
"7",6364,2015,572.76,"Current","Rep1"
"8",6415,2015,577.35,"Current","Rep1"
"9",137632,2015,12386.88,"Current","Rep1"
"10",9416,2015,847.44,"Current","Rep1"
"11",137694,2015,12392.46,"Current","Rep1"
"12",43948,2015,3955.32,"Current","Rep1"
"13",737,2015,66.33,"Current","Rep1"
"0",705042,2016,63453.78,"Current","Rep1"
"1",967892,2016,87110.28,"Current","Rep1"
"2",92739,2016,8346.51,"Current","Rep1"
"3",422779,2016,38050.11,"Current","Rep1"
"4",97828,2016,8804.52,"Current","Rep1"
"5",85291,2016,7676.19,"Current","Rep1"
"6",141057,2016,12695.13,"Current","Rep1"
"7",6366,2016,572.94,"Current","Rep1"
"8",6433,2016,578.97,"Current","Rep1"
"9",135933,2016,12233.97,"Current","Rep1"
"10",9397,2016,845.73,"Current","Rep1"
"11",137697,2016,12392.73,"Current","Rep1"
"12",44041,2016,3963.69,"Current","Rep1"
"13",738,2016,66.42,"Current","Rep1"
"0",704781,2017,63430.29,"Current","Rep1"
"1",970474,2017,87342.66,"Current","Rep1"
"2",91400,2017,8226,"Current","Rep1"
"3",422438,2017,38019.42,"Current","Rep1"
"4",97861,2017,8807.49,"Current","Rep1"
"5",85331,2017,7679.79,"Current","Rep1"
"6",141627,2017,12746.43,"Current","Rep1"
"7",6366,2017,572.94,"Current","Rep1"
"8",6442,2017,579.78,"Current","Rep1"
"9",134940,2017,12144.6,"Current","Rep1"
"10",9385,2017,844.65,"Current","Rep1"
"11",137403,2017,12366.27,"Current","Rep1"
"12",44047,2017,3964.23,"Current","Rep1"
"13",738,2017,66.42,"Current","Rep1"
"0",704564,2018,63410.76,"Current","Rep1"
"1",972172,2018,87495.48,"Current","Rep1"
"2",90792,2018,8171.28,"Current","Rep1"
"3",424817,2018,38233.53,"Current","Rep1"
"4",98006,2018,8820.54,"Current","Rep1"
"5",85305,2018,7677.45,"Current","Rep1"
"6",142763,2018,12848.67,"Current","Rep1"
"7",6366,2018,572.94,"Current","Rep1"
"8",6444,2018,579.96,"Current","Rep1"
"9",130505,2018,11745.45,"Current","Rep1"
"10",9371,2018,843.39,"Current","Rep1"
"11",137342,2018,12360.78,"Current","Rep1"
"12",44048,2018,3964.32,"Current","Rep1"
"13",738,2018,66.42,"Current","Rep1"
"0",709617,2019,63865.53,"Current","Rep1"
"1",970464,2019,87341.76,"Current","Rep1"
"2",90540,2019,8148.6,"Current","Rep1"
"3",422977,2019,38067.93,"Current","Rep1"
"4",97864,2019,8807.76,"Current","Rep1"
"5",85556,2019,7700.04,"Current","Rep1"
"6",143576,2019,12921.84,"Current","Rep1"
"7",6341,2019,570.69,"Current","Rep1"
"8",6457,2019,581.13,"Current","Rep1"
"9",129217,2019,11629.53,"Current","Rep1"
"10",9183,2019,826.47,"Current","Rep1"
"11",136821,2019,12313.89,"Current","Rep1"
"12",43885,2019,3949.65,"Current","Rep1"
"13",735,2019,66.15,"Current","Rep1"
"0",709337,2020,63840.33,"Current","Rep1"
"1",974296,2020,87686.64,"Current","Rep1"
"2",92922,2020,8362.98,"Current","Rep1"
"3",423976,2020,38157.84,"Current","Rep1"
