"time","ABIEBALS","ACERPENS","ACERRUBR","ACERSACC","BETUALLE","BETULENT","BETUPAPY","FAGUGRAN","FRAXAMER","PICERUBE","PINUSTRO","POPUTREM","PRUNPENS","PRUNSERO","QUERALBA","QUERRUBR","TILIAMER","TSUGCANA","woody","TotalBiomass","NA","NA","NA","NA","NA"
0,0.490235652900692,0,0.0323688532406846,0.00336094090896918,0.0711612470743359,0,0.154828333017533,0.0173564806518079,0.00193683335495935,0.209243930467867,0.000263363745149185,1.75846809743392e-09,0,0.012435772341082,0,0.00282475128638078,0,0.00390175323499624,0.464241031924841,NA,NA,NA,NA,NA,NA
5,0.494022024306616,2.89097630556885e-05,0.0305335099686639,0.00332194248571974,0.0673510717621161,5.89126584459808e-05,0.157065317073434,0.0143633784032146,0.00130700909780968,0.211833699342503,0.000600313931766177,0.000306024013137807,0.000169777327312138,0.0131885587514222,6.39158054058607e-06,0.000165169314323129,6.04277292747184e-07,0.00467485441317517,0.740137842359831,NA,NA,NA,NA,NA,NA
10,0.47738094217067,8.18738463963613e-05,0.0280344893454128,0.00471911705181105,0.0686623124769142,8.67604956967593e-05,0.175469008053818,0.0138043665470154,0.00142975944217218,0.209334272212891,0.000693119877102033,0.000415940589169806,0.000156703061401386,0.013024866044622,1.54755154162298e-05,0.000282868808597193,2.16102677023266e-06,0.00504511188367068,1.21458395885371,NA,NA,NA,NA,NA,NA
15,0.472708396118078,0.00014208322714252,0.0261689529006366,0.00474511705794895,0.0677240605950071,0.000120943284854977,0.184494805655426,0.0139760653520725,0.000897447496513038,0.206473353716599,0.000806599763470255,0.000460809759147069,0.000133282678028522,0.013413291709304,1.87977809826548e-05,0.000368100953535981,5.56036478750873e-06,0.00558107091934401,1.68733624219352,NA,NA,NA,NA,NA,NA
20,0.455755174107214,0.000199952700805513,0.0274962283333372,0.00582299418616647,0.0719790740076523,0.000142153988067566,0.187624886414082,0.0137260170309082,0.000841148088031581,0.212872314118653,0.000902032033849849,0.000414426787356985,0.000140512388655943,0.0133752186761814,1.64532609707339e-05,0.000448691434883258,3.73436121158073e-06,0.00589575391194602,2.25868501534139,NA,NA,NA,NA,NA,NA
25,0.442222330757588,0.000289279534132476,0.0274538976810899,0.00829853222523377,0.0721352422319201,0.000219847531673319,0.187834792033483,0.0140359090930678,0.00108550533191957,0.219330926830274,0.00112048160103474,0.000384556166439406,0.000118121165102014,0.0138109772218369,2.59583000054953e-05,0.000528258887833325,8.95821205715413e-06,0.00637469555749686,2.73799903259523,NA,NA,NA,NA,NA,NA
30,0.432257378441578,0.000439368142627162,0.0238292820793927,0.01035343122365,0.0678333578324805,0.000303559196453884,0.195551985700373,0.0145702839679706,0.00133738445346333,0.230831662597706,0.00128741209906341,0.000390463731465459,0.000153121489660894,0.00930386196337289,3.29107882792758e-05,0.000652243865702595,9.46203780745291e-06,0.00696246376851897,3.36538143213931,NA,NA,NA,NA,NA,NA
35,0.437138826370006,0.00072444117711982,0.0215830672602543,0.0128542528938443,0.05815132163513,0.000379918942902412,0.184086174490148,0.00683479368683799,0.0016133044980441,0.254338855664619,0.00152204588612989,0.000421285739243826,0.000105695702487776,0.00889747311757606,4.26663465488003e-05,0.000811525554407426,1.50250446887838e-05,0.00790738284417765,4.13025328194159,NA,NA,NA,NA,NA,NA
40,0.444478698552808,0.000849382134749949,0.0206086607235431,0.0156147990922378,0.031970543444231,0.000380884515380836,0.166383567155333,0.00561818720170813,0.00199389628168599,0.288279666412447,0.00169276271009696,0.000463306999993317,7.53829202828895e-05,0.00893808763217071,5.28013074218695e-05,0.00104682398982103,2.30028587267784e-05,0.00907969443742414,4.7917382808838,NA,NA,NA,NA,NA,NA
45,0.425950014223116,0.000746761446056868,0.0201852810795108,0.0157260714114801,0.0333497055796529,0.00040132515850588,0.167006819321459,0.00616322976241283,0.00225293931820997,0.304657345056193,0.00177892606378092,0.000491873092498766,8.32976620880695e-05,0.00840745382917239,5.94048041351557e-05,0.00111681110825665,1.93655843243928e-05,0.00987046862028572,4.97189284021693,NA,NA,NA,NA,NA,NA
50,0.408054215112172,0.000816945558727406,0.023065466323257,0.0170967819297517,0.0284871230191417,0.000388680017254266,0.1651556078421,0.00450890577041416,0.00222714232969428,0.326838180182962,0.00171179426478758,0.00050113430786212,0.000125792697428137,0.00784312278007183,5.28009735048121e-05,0.00111435263363579,2.3774233281044e-05,0.0104888403742147,5.15452820809145,NA,NA,NA,NA,NA,NA
55,0.392551587152237,0.000863908922410782,0.0274987729980704,0.0208985249329629,0.0264369858770639,0.000418700192758204,0.157799381415577,0.00563606391893339,0.00224071455548585,0.342366463587787,0.00172108714034714,0.000471478311401278,0.000108143374732614,0.00700485622976675,5.43626501472016e-05,0.00119224420934313,2.46009298277792e-05,0.0112380865813665,5.41914285129043,NA,NA,NA,NA,NA,NA
60,0.395143137758359,0.000985853068032878,0.029879584375674,0.024524961089563,0.0237596253388151,0.000469853438080087,0.146606045065636,0.00682778269812912,0.00246883559887635,0.348476006528244,0.0019525919711006,0.000507185288762874,0.000150336293248641,0.00506515060790446,6.17127787685363e-05,0.00140842799177768,2.29992476664721e-05,0.00992445570809734,8.66014980429832,NA,NA,NA,NA,NA,NA
65,0.389961930083682,0.00108691017083985,0.0355596145493677,0.0294374243887898,0.0242346856741367,0.000496558561919775,0.123337294565088,0.00870126843523008,0.00262490312138864,0.362165436204125,0.00216493968046288,0.000496312583997362,0.000115806398708755,0.00472748815124522,6.63504316964202e-05,0.00153560919029477,3.09672911877992e-05,0.0110131572816494,10.8762709089596,NA,NA,NA,NA,NA,NA
70,0.387546943249776,0.0012551126944921,0.0289507547118507,0.0307494033040804,0.0249150169515006,0.000510719454254817,0.109910326758386,0.00935750268618581,0.00279453119814213,0.381234693302926,0.0022830802373863,0.000521867118332324,0.000104502659913258,0.0044123671430483,7.40367646185808e-05,0.0014586349358866,3.25137840629647e-05,0.0110221219676896,15.9236503086215,NA,NA,NA,NA,NA,NA
75,0.375257982123329,0.00153499833001628,0.0240313855539632,0.0338832867540344,0.0257048077861723,0.000487098721831072,0.106832134866494,0.0106079836947173,0.00283837877767964,0.39638273318359,0.00209716907199752,0.000522957257219829,0.000109094040742698,0.00395350496822358,5.66783570337729e-05,0.00153540855592023,3.23726495188033e-05,0.0110648030336638,9.13138881568198,NA,NA,NA,NA,NA,NA
80,0.355629297892757,0.00164474701737502,0.0315187561469104,0.0394263540669034,0.0252471580544755,0.000565036484543758,0.102805986117197,0.0130055437288746,0.00304165251720601,0.404105581007621,0.00215328509285679,0.000570791163121899,0.000128323573571775,0.00366907838709779,7.22387312636019e-05,0.00162018909010104,2.72065040112398e-05,0.0118352982512358,8.02506609381698,NA,NA,NA,NA,NA,NA
85,0.337797922662757,0.00164648940920242,0.0340286230057414,0.0439070099825004,0.0247536838315462,0.000601782694124088,0.0971310429878776,0.0158986657184073,0.00333073463818499,0.416660319843981,0.00222902097901319,0.000542734387703396,0.000104768739613801,0.0033047968732283,7.13909988909338e-05,0.00172121127059226,2.70557898069873e-05,0.0133169278285632,8.37260942446912,NA,NA,NA,NA,NA,NA
90,0.317160542652456,0.00172059267714031,0.0258305847300963,0.0434747634391871,0.0234830669041882,0.000674866629873054,0.0924010163590226,0.0164179147989126,0.00323039674663637,0.445414004005724,0.00242337194256788,0.000510262724628865,0.000119090177782717,0.00744645873126246,8.14569699021581e-05,0.00185579070257551,2.94735572311429e-05,0.0149948542981799,8.48729012922495,NA,NA,NA,NA,NA,NA
95,0.294737314859926,0.00190217558604526,0.0201787061469835,0.0452992939606626,0.0224559012435084,0.000701374506848512,0.0819940716300139,0.0168251311688408,0.00316049226420051,0.470363351003239,0.00251075042137489,0.000440968513874396,8.19585864438622e-05,0.0189218640057233,8.4524086230267e-05,0.00183105632814172,2.16086348979431e-05,0.0161793909395533,9.06733288942381,NA,NA,NA,NA,NA,NA
100,0.274674446802643,0.00184529838531467,0.0172963546057636,0.0481194434574053,0.0243116301400057,0.000707653062983983,0.0721857363726236,0.0181102270459064,0.00289862721039372,0.494506883243726,0.00255064064262698,0.00044743359697837,9.10505487461412e-05,0.0210164270087595,7.72748715943647e-05,0.00182852341716117,2.29695360767693e-05,0.0171963129847469,10.1066230173223,NA,NA,NA,NA,NA,NA
105,0.259147459197421,0.00124248445049578,0.0153148595847683,0.0495936658073065,0.0258322849324402,0.000696381349365694,0.0632184840769408,0.01855602694563,0.00285385429921978,0.524048264949141,0.00248425412010587,0.000454296126900818,9.69162745981225e-05,0.0145847336109757,6.69507676772464e-05,0.00184451288219506,2.2157545013474e-05,0.0180860983812496,11.5889997932544,NA,NA,NA,NA,NA,NA
110,0.242693167774424,0.000787440589349654,0.0130976653477831,0.0480478114818766,0.0239234705504379,0.000660800016161935,0.0556920135947356,0.0186440089372435,0.0028172175410596,0.558342611342202,0.00244374547483798,0.000434724691554741,0.000125863488956828,0.00917549625797474,5.34245416299418e-05,0.00185184882158939,1.25266347298713e-05,0.0194460905973372,11.827625464614,NA,NA,NA,NA,NA,NA
115,0.228101440713585,0.000405364481842633,0.0112496383440159,0.0476835282990742,0.021506000969511,0.000570668936169882,0.0481467555894827,0.0182913978590296,0.00268526083733928,0.589300911494835,0.00234573703146068,0.000421785009257105,0.000104622719855291,0.00529717948326855,4.85715700774282e-05,0.00177134840694606,1.20183216208096e-05,0.0203879452886811,12.9421130429394,NA,NA,NA,NA,NA,NA
120,0.210788685430546,0.000381291686806747,0.0106783491477213,0.0537586385163721,0.0190133488037746,0.000576065911883939,0.0378992534974586,0.0218452313683994,0.0027181941153553,0.599521619162059,0.00257287001083033,0.000461935109199351,0.000104007498721501,0.0133943498012932,3.30663945713141e-05,0.00173227001231538,1.45018407676632e-05,0.0226631102916874,11.1458660971061,NA,NA,NA,NA,NA,NA
125,0.202463284848273,0.00035160241205415,0.0103652679190942,0.0580236868386644,0.0183205481598674,0.000551310559027441,0.0301142363937494,0.0233028426046015,0.00281781863566918,0.611894437539055,0.00258562290557111,0.000418959372007222,0.000153547855717204,0.0108843832467085,3.76195037237429e-05,0.00183453085533118,8.47130820265014e-06,0.0240054186490575,9.0625370371731,NA,NA,NA,NA,NA,NA
130,0.199028919378879,0.000407577292924022,0.00994233294070163,0.0626292338654675,0.0180077605387645,0.000424073062232529,0.0236188533239963,0.0240500537525183,0.00259518970166922,0.623466592852707,0.00235653380320045,0.000437442057893972,0.000178118114717314,0.00511767916014462,3.74968908138771e-05,0.00163155693700011,1.56941558060097e-06,0.0243241560685954,9.38252649364341,NA,NA,NA,NA,NA,NA
135,0.195398078079183,0.000364981258157164,0.00971061888845019,0.0693375322169493,0.0176121157024817,0.000315148590059714,0.0183081687784232,0.0256303740997123,0.0022119069433134,0.627931057725347,0.00206198671593159,0.000470258709587844,0.000123369059165554,0.00240349382826155,3.91291177096522e-05,0.00152764643325704,1.78375063222845e-06,0.0249011067564052,6.97979906397493,NA,NA,NA,NA,NA,NA
140,0.190544283990107,0.000408542793168906,0.00969165835724328,0.0767739872539554,0.0163050217966523,0.00026192678801402,0.0139732106080587,0.0282325649294778,0.00210266132083242,0.628788747890839,0.00176610263535828,0.000409757363175389,0.000135257287328807,0.00116268163870609,3.72147372966338e-05,0.00153338897563689,0,0.0262594128428577,5.19972893973173,NA,NA,NA,NA,NA,NA
145,0.186340192727927,0.000417585898797992,0.00973966448438935,0.0847494259717293,0.0150008437767215,0.000275429230153265,0.0110600142293142,0.0304917458207925,0.00197150181380971,0.626966673211183,0.00171297280184967,0.000344839972666747,9.57740918084267e-05,0.000648813906932019,4.1725635867164e-05,0.00149988096966542,0,0.0270616919057104,4.74379788038279,NA,NA,NA,NA,NA,NA
150,0.182929319705149,0.000401622139798195,0.0101549329994733,0.0940776218844436,0.0137848478183732,0.000290559991614626,0.00916889334490932,0.0333898832345236,0.0018252347906866,0.620693582119264,0.0016359315445974,0.000343689614335666,7.79025025356204e-05,0.000448301585371172,4.30597197462102e-05,0.00149364194127261,0,0.0276258961097132,4.16978979398889,NA,NA,NA,NA,NA,NA
155,0.181757456658265,0.000444906981843959,0.010506557159524,0.100769061262023,0.0128954040822707,0.000275739863618597,0.00797260832941022,0.0359643041698993,0.00174570201658537,0.613355116720802,0.00159634815101388,0.000368337235009167,7.41955116528758e-05,0.000327633777919257,4.54786777051591e-05,0.00148383956209413,0,0.028886242722571,3.64051469278306,NA,NA,NA,NA,NA,NA
160,0.18437029978922,0.00043998942649033,0.0110958421398384,0.104623930652579,0.0115877915227929,0.000286242836923725,0.00732556256246641,0.038163968811201,0.0017319639634662,0.60497451817662,0.00162929963693716,0.00038829517196328,7.05409517937362e-05,0.000324724362974922,5.35419066409541e-05,0.00154678854187685,3.01355016754035e-06,0.0298742102034762,3.5136770700283,NA,NA,NA,NA,NA,NA
165,0.186859734766252,0.000432936254046313,0.0116599663542879,0.107348049292366,0.0108103293409013,0.000287234368762756,0.00707889499531649,0.0401659310820949,0.00182357324733922,0.59725547290476,0.00167712386095646,0.000338338297775077,6.70759847084956e-05,0.000247303207642725,6.29167094878718e-05,0.00169046011122771,3.46862262296376e-06,0.0306602814155469,3.93051954490206,NA,NA,NA,NA,NA,NA
170,0.190418667606784,0.00044529513228307,0.0121960214520049,0.109778233011673,0.0106677131791278,0.000281011053522224,0.00678326998357505,0.0421731972496338,0.00199708872096412,0.588023118138493,0.00174588958313451,0.000353448094506883,7.91593676510456e-05,0.000185229819296523,5.45800469441985e-05,0.00195393332096874,3.676032349995e-06,0.0313146676879492,2.60790024519816,NA,NA,NA,NA,NA,NA
175,0.197760534613191,0.000545444212181308,0.0122133381439715,0.10875846015468,0.0105187874907108,0.00032325295286343,0.00658996568754708,0.0428066290774434,0.00221348497305494,0.580153643592059,0.00185832960101597,0.000429754960881335,7.12363620626463e-05,0.000185346613442511,5.8559605434764e-05,0.00217472796868975,8.1216522125253e-06,0.0317590906044256,3.00231551897523,NA,NA,NA,NA,NA,NA
180,0.207329790745231,0.000588923397095903,0.0118900533534883,0.107014944135981,0.0106202903200884,0.000313150724308302,0.00620311189350621,0.0423882762190373,0.00230403402938156,0.572765249562941,0.00192449262471228,0.000475856029926191,6.56082596929236e-05,0.000144885126010106,6.10230837653006e-05,0.00238553102434584,1.38756026907506e-05,0.0318750132398424,3.29412164351758,NA,NA,NA,NA,NA,NA
185,0.219873202893954,0.000648305352617165,0.0118079383531427,0.103712075528599,0.0111428392005399,0.000325944799448118,0.00573965714196902,0.0408485243110492,0.00250046257089323,0.564416704981439,0.00194975580332661,0.000547783662228389,4.16206989264011e-05,0.00014388527427062,8.31471914100958e-05,0.00265247769426812,8.7292096054333e-06,0.0318858293206635,3.75419205453553,NA,NA,NA,NA,NA,NA
190,0.234888361786073,0.000639532061523914,0.012149047269107,0.0988225728417336,0.0116512755552227,0.000331624315793319,0.00552750763889016,0.0387923485421416,0.0027674791805389,0.554421979970371,0.00208731505672876,0.000548458048962999,6.85746021125039e-05,0.000129705120622915,6.17051442177855e-05,0.00298001696508223,8.99939701505506e-06,0.0323926226166553,4.0515010517169,NA,NA,NA,NA,NA,NA
