"class","npixels","year","areaHa","scenario","rep"
"0",5395153,2010,485563.77,"RCP45","Rep4"
"1",1670997,2010,150389.73,"RCP45","Rep4"
"2",174969,2010,15747.21,"RCP45","Rep4"
"3",565006,2010,50850.54,"RCP45","Rep4"
"4",216735,2010,19506.15,"RCP45","Rep4"
"6",252160,2010,22694.4,"RCP45","Rep4"
"7",66174,2010,5955.66,"RCP45","Rep4"
"8",151661,2010,13649.49,"RCP45","Rep4"
"9",360308,2010,32427.72,"RCP45","Rep4"
"10",42732,2010,3845.88,"RCP45","Rep4"
"11",338783,2010,30490.47,"RCP45","Rep4"
"12",279826,2010,25184.34,"RCP45","Rep4"
"13",5500,2010,495,"RCP45","Rep4"
"0",5394864,2011,485537.76,"RCP45","Rep4"
"1",1675146,2011,150763.14,"RCP45","Rep4"
"2",173574,2011,15621.66,"RCP45","Rep4"
"3",568894,2011,51200.46,"RCP45","Rep4"
"4",213713,2011,19234.17,"RCP45","Rep4"
"6",253556,2011,22820.04,"RCP45","Rep4"
"7",66194,2011,5957.46,"RCP45","Rep4"
"8",151582,2011,13642.38,"RCP45","Rep4"
"9",357426,2011,32168.34,"RCP45","Rep4"
"10",42307,2011,3807.63,"RCP45","Rep4"
"11",337412,2011,30367.08,"RCP45","Rep4"
"12",279836,2011,25185.24,"RCP45","Rep4"
"13",5500,2011,495,"RCP45","Rep4"
"0",5394603,2012,485514.27,"RCP45","Rep4"
"1",1676696,2012,150902.64,"RCP45","Rep4"
"2",173395,2012,15605.55,"RCP45","Rep4"
"3",568527,2012,51167.43,"RCP45","Rep4"
"4",211399,2012,19025.91,"RCP45","Rep4"
"6",256745,2012,23107.05,"RCP45","Rep4"
"7",66209,2012,5958.81,"RCP45","Rep4"
"8",152951,2012,13765.59,"RCP45","Rep4"
"9",355781,2012,32020.29,"RCP45","Rep4"
"10",41196,2012,3707.64,"RCP45","Rep4"
"11",337102,2012,30339.18,"RCP45","Rep4"
"12",279900,2012,25191,"RCP45","Rep4"
"13",5500,2012,495,"RCP45","Rep4"
"0",5394378,2013,485494.02,"RCP45","Rep4"
"1",1679006,2013,151110.54,"RCP45","Rep4"
"2",172476,2013,15522.84,"RCP45","Rep4"
"3",566454,2013,50980.86,"RCP45","Rep4"
"4",210975,2013,18987.75,"RCP45","Rep4"
"6",258975,2013,23307.75,"RCP45","Rep4"
"7",66216,2013,5959.44,"RCP45","Rep4"
"8",152881,2013,13759.29,"RCP45","Rep4"
"9",355322,2013,31978.98,"RCP45","Rep4"
"10",40541,2013,3648.69,"RCP45","Rep4"
"11",337337,2013,30360.33,"RCP45","Rep4"
"12",279943,2013,25194.87,"RCP45","Rep4"
"13",5500,2013,495,"RCP45","Rep4"
"0",5402406,2014,486216.54,"RCP45","Rep4"
"1",1679807,2014,151182.63,"RCP45","Rep4"
"2",170900,2014,15381,"RCP45","Rep4"
"3",567067,2014,51036.03,"RCP45","Rep4"
"4",211214,2014,19009.26,"RCP45","Rep4"
"6",258814,2014,23293.26,"RCP45","Rep4"
"7",66191,2014,5957.19,"RCP45","Rep4"
"8",153069,2014,13776.21,"RCP45","Rep4"
"9",349620,2014,31465.8,"RCP45","Rep4"
"10",39217,2014,3529.53,"RCP45","Rep4"
"11",337010,2014,30330.9,"RCP45","Rep4"
"12",279201,2014,25128.09,"RCP45","Rep4"
"13",5488,2014,493.92,"RCP45","Rep4"
"0",5402941,2015,486264.69,"RCP45","Rep4"
"1",1681971,2015,151377.39,"RCP45","Rep4"
"2",170903,2015,15381.27,"RCP45","Rep4"
"3",569010,2015,51210.9,"RCP45","Rep4"
"4",215162,2015,19364.58,"RCP45","Rep4"
"6",259539,2015,23358.51,"RCP45","Rep4"
"7",66216,2015,5959.44,"RCP45","Rep4"
"8",152985,2015,13768.65,"RCP45","Rep4"
"9",345481,2015,31093.29,"RCP45","Rep4"
"10",38894,2015,3500.46,"RCP45","Rep4"
"11",332032,2015,29882.88,"RCP45","Rep4"
"12",279383,2015,25144.47,"RCP45","Rep4"
"13",5487,2015,493.83,"RCP45","Rep4"
"0",5402109,2016,486189.81,"RCP45","Rep4"
"1",1687647,2016,151888.23,"RCP45","Rep4"
"2",168752,2016,15187.68,"RCP45","Rep4"
"3",567486,2016,51073.74,"RCP45","Rep4"
"4",215164,2016,19364.76,"RCP45","Rep4"
"6",262084,2016,23587.56,"RCP45","Rep4"
"7",66239,2016,5961.51,"RCP45","Rep4"
"8",152908,2016,13761.72,"RCP45","Rep4"
"9",341734,2016,30756.06,"RCP45","Rep4"
"10",38596,2016,3473.64,"RCP45","Rep4"
"11",332291,2016,29906.19,"RCP45","Rep4"
"12",279507,2016,25155.63,"RCP45","Rep4"
"13",5487,2016,493.83,"RCP45","Rep4"
"0",5401357,2017,486122.13,"RCP45","Rep4"
"1",1691451,2017,152230.59,"RCP45","Rep4"
"2",167713,2017,15094.17,"RCP45","Rep4"
"3",566618,2017,50995.62,"RCP45","Rep4"
"4",215141,2017,19362.69,"RCP45","Rep4"
"6",264843,2017,23835.87,"RCP45","Rep4"
"7",66271,2017,5964.39,"RCP45","Rep4"
"8",152826,2017,13754.34,"RCP45","Rep4"
"9",338366,2017,30452.94,"RCP45","Rep4"
"10",38275,2017,3444.75,"RCP45","Rep4"
"11",331861,2017,29867.49,"RCP45","Rep4"
"12",279793,2017,25181.37,"RCP45","Rep4"
"13",5489,2017,494.01,"RCP45","Rep4"
"0",5400674,2018,486060.66,"RCP45","Rep4"
"1",1694993,2018,152549.37,"RCP45","Rep4"
"2",167108,2018,15039.72,"RCP45","Rep4"
"3",567348,2018,51061.32,"RCP45","Rep4"
"4",215095,2018,19358.55,"RCP45","Rep4"
"6",268410,2018,24156.9,"RCP45","Rep4"
"7",66329,2018,5969.61,"RCP45","Rep4"
"8",152761,2018,13748.49,"RCP45","Rep4"
"9",332494,2018,29924.46,"RCP45","Rep4"
"10",38044,2018,3423.96,"RCP45","Rep4"
"11",331429,2018,29828.61,"RCP45","Rep4"
"12",279830,2018,25184.7,"RCP45","Rep4"
"13",5489,2018,494.01,"RCP45","Rep4"
"0",5409212,2019,486829.08,"RCP45","Rep4"
"1",1692231,2019,152300.79,"RCP45","Rep4"
"2",166818,2019,15013.62,"RCP45","Rep4"
"3",568240,2019,51141.6,"RCP45","Rep4"
"4",215608,2019,19404.72,"RCP45","Rep4"
"6",270246,2019,24322.14,"RCP45","Rep4"
"7",66274,2019,5964.66,"RCP45","Rep4"
"8",152594,2019,13733.46,"RCP45","Rep4"
"9",326769,2019,29409.21,"RCP45","Rep4"
"10",37107,2019,3339.63,"RCP45","Rep4"
"11",330415,2019,29737.35,"RCP45","Rep4"
"12",279017,2019,25111.53,"RCP45","Rep4"
"13",5473,2019,492.57,"RCP45","Rep4"
"0",5408193,2020,486737.37,"RCP45","Rep4"
"1",1696041,2020,152643.69,"RCP45","Rep4"
"2",168836,2020,15195.24,"RCP45","Rep4"
"3",569375,2020,51243.75,"RCP45","Rep4"
"4",215890,2020,19430.1,"RCP45","Rep4"
"6",271549,2020,24439.41,"RCP45","Rep4"
"7",66305,2020,5967.45,"RCP45","Rep4"
"8",152593,2020,13733.37,"RCP45","Rep4"
"9",321539,2020,28938.51,"RCP45","Rep4"
"10",36575,2020,3291.75,"RCP45","Rep4"
"11",328608,2020,29574.72,"RCP45","Rep4"
"12",279026,2020,25112.34,"RCP45","Rep4"
"13",5474,2020,492.66,"RCP45","Rep4"
"0",5407216,2021,486649.44,"RCP45","Rep4"
"1",1708007,2021,153720.63,"RCP45","Rep4"
"2",168546,2021,15169.14,"RCP45","Rep4"
"3",567053,2021,51034.77,"RCP45","Rep4"
"4",214063,2021,19265.67,"RCP45","Rep4"
"6",275659,2021,24809.31,"RCP45","Rep4"
"7",66327,2021,5969.43,"RCP45","Rep4"
"8",152658,2021,13739.22,"RCP45","Rep4"
"9",319972,2021,28797.48,"RCP45","Rep4"
"10",35946,2021,3235.14,"RCP45","Rep4"
"11",320053,2021,28804.77,"RCP45","Rep4"
"12",279030,2021,25112.7,"RCP45","Rep4"
"13",5474,2021,492.66,"RCP45","Rep4"
"0",5406243,2022,486561.87,"RCP45","Rep4"
"1",1713929,2022,154253.61,"RCP45","Rep4"
"2",168253,2022,15142.77,"RCP45","Rep4"
"3",563903,2022,50751.27,"RCP45","Rep4"
"4",213071,2022,19176.39,"RCP45","Rep4"
"6",279451,2022,25150.59,"RCP45","Rep4"
"7",66346,2022,5971.14,"RCP45","Rep4"
"8",152715,2022,13744.35,"RCP45","Rep4"
"9",318640,2022,28677.6,"RCP45","Rep4"
"10",35560,2022,3200.4,"RCP45","Rep4"
"11",317347,2022,28561.23,"RCP45","Rep4"
"12",279072,2022,25116.48,"RCP45","Rep4"
"13",5474,2022,492.66,"RCP45","Rep4"
"0",5405215,2023,486469.35,"RCP45","Rep4"
"1",1724973,2023,155247.57,"RCP45","Rep4"
"2",167621,2023,15085.89,"RCP45","Rep4"
"3",561675,2023,50550.75,"RCP45","Rep4"
"4",211760,2023,19058.4,"RCP45","Rep4"
"6",286713,2023,25804.17,"RCP45","Rep4"
"7",66362,2023,5972.58,"RCP45","Rep4"
"8",152652,2023,13738.68,"RCP45","Rep4"
"9",314758,2023,28328.22,"RCP45","Rep4"
"10",35011,2023,3150.99,"RCP45","Rep4"
"11",308566,2023,27770.94,"RCP45","Rep4"
"12",279223,2023,25130.07,"RCP45","Rep4"
"13",5475,2023,492.75,"RCP45","Rep4"
"0",5414045,2024,487264.05,"RCP45","Rep4"
"1",1722412,2024,155017.08,"RCP45","Rep4"
"2",167826,2024,15104.34,"RCP45","Rep4"
"3",559348,2024,50341.32,"RCP45","Rep4"
"4",211198,2024,19007.82,"RCP45","Rep4"
"6",288922,2024,26002.98,"RCP45","Rep4"
"7",66234,2024,5961.06,"RCP45","Rep4"
"8",152520,2024,13726.8,"RCP45","Rep4"
"9",311439,2024,28029.51,"RCP45","Rep4"
"10",34114,2024,3070.26,"RCP45","Rep4"
"11",307872,2024,27708.48,"RCP45","Rep4"
"12",278618,2024,25075.62,"RCP45","Rep4"
"13",5456,2024,491.04,"RCP45","Rep4"
"0",5412663,2025,487139.67,"RCP45","Rep4"
"1",1724307,2025,155187.63,"RCP45","Rep4"
"2",167894,2025,15110.46,"RCP45","Rep4"
"3",559553,2025,50359.77,"RCP45","Rep4"
"4",211515,2025,19036.35,"RCP45","Rep4"
"6",291328,2025,26219.52,"RCP45","Rep4"
"7",66256,2025,5963.04,"RCP45","Rep4"
"8",152470,2025,13722.3,"RCP45","Rep4"
"9",308191,2025,27737.19,"RCP45","Rep4"
"10",33879,2025,3049.11,"RCP45","Rep4"
"11",307819,2025,27703.71,"RCP45","Rep4"
"12",278674,2025,25080.66,"RCP45","Rep4"
"13",5455,2025,490.95,"RCP45","Rep4"
"0",5411458,2026,487031.22,"RCP45","Rep4"
"1",1725812,2026,155323.08,"RCP45","Rep4"
"2",167804,2026,15102.36,"RCP45","Rep4"
"3",558019,2026,50221.71,"RCP45","Rep4"
"4",211925,2026,19073.25,"RCP45","Rep4"
"6",295245,2026,26572.05,"RCP45","Rep4"
"7",66271,2026,5964.39,"RCP45","Rep4"
"8",152395,2026,13715.55,"RCP45","Rep4"
"9",305341,2026,27480.69,"RCP45","Rep4"
"10",33655,2026,3028.95,"RCP45","Rep4"
"11",307858,2026,27707.22,"RCP45","Rep4"
"12",278766,2026,25088.94,"RCP45","Rep4"
"13",5455,2026,490.95,"RCP45","Rep4"
"0",5410156,2027,486914.04,"RCP45","Rep4"
"1",1729483,2027,155653.47,"RCP45","Rep4"
"2",168726,2027,15185.34,"RCP45","Rep4"
"3",554919,2027,49942.71,"RCP45","Rep4"
"4",212639,2027,19137.51,"RCP45","Rep4"
"6",298371,2027,26853.39,"RCP45","Rep4"
"7",66293,2027,5966.37,"RCP45","Rep4"
"8",152305,2027,13707.45,"RCP45","Rep4"
"9",302789,2027,27251.01,"RCP45","Rep4"
"10",31961,2027,2876.49,"RCP45","Rep4"
"11",307977,2027,27717.93,"RCP45","Rep4"
"12",278929,2027,25103.61,"RCP45","Rep4"
"13",5456,2027,491.04,"RCP45","Rep4"
"0",5408980,2028,486808.2,"RCP45","Rep4"
"1",1733643,2028,156027.87,"RCP45","Rep4"
"2",168581,2028,15172.29,"RCP45","Rep4"
"3",551698,2028,49652.82,"RCP45","Rep4"
"4",213871,2028,19248.39,"RCP45","Rep4"
"6",300949,2028,27085.41,"RCP45","Rep4"
"7",66318,2028,5968.62,"RCP45","Rep4"
"8",152253,2028,13702.77,"RCP45","Rep4"
"9",301504,2028,27135.36,"RCP45","Rep4"
"10",29881,2028,2689.29,"RCP45","Rep4"
"11",307869,2028,27708.21,"RCP45","Rep4"
"12",279001,2028,25110.09,"RCP45","Rep4"
"13",5456,2028,491.04,"RCP45","Rep4"
"0",5415376,2029,487383.84,"RCP45","Rep4"
"1",1732744,2029,155946.96,"RCP45","Rep4"
"2",168303,2029,15147.27,"RCP45","Rep4"
"3",549018,2029,49411.62,"RCP45","Rep4"
"4",214998,2029,19349.82,"RCP45","Rep4"
"6",302316,2029,27208.44,"RCP45","Rep4"
"7",66249,2029,5962.41,"RCP45","Rep4"
"8",152271,2029,13704.39,"RCP45","Rep4"
"9",299112,2029,26920.08,"RCP45","Rep4"
"10",28891,2029,2600.19,"RCP45","Rep4"
"11",306709,2029,27603.81,"RCP45","Rep4"
"12",278606,2029,25074.54,"RCP45","Rep4"
"13",5411,2029,486.99,"RCP45","Rep4"
"0",5413914,2030,487252.26,"RCP45","Rep4"
"1",1734674,2030,156120.66,"RCP45","Rep4"
"2",166500,2030,14985,"RCP45","Rep4"
"3",548584,2030,49372.56,"RCP45","Rep4"
"4",215416,2030,19387.44,"RCP45","Rep4"
"6",304751,2030,27427.59,"RCP45","Rep4"
"7",66281,2030,5965.29,"RCP45","Rep4"
"8",152192,2030,13697.28,"RCP45","Rep4"
"9",298188,2030,26836.92,"RCP45","Rep4"
"10",28651,2030,2578.59,"RCP45","Rep4"
"11",306722,2030,27604.98,"RCP45","Rep4"
"12",278717,2030,25084.53,"RCP45","Rep4"
"13",5414,2030,487.26,"RCP45","Rep4"
"0",5412486,2031,487123.74,"RCP45","Rep4"
"1",1737330,2031,156359.7,"RCP45","Rep4"
"2",165422,2031,14887.98,"RCP45","Rep4"
"3",546840,2031,49215.6,"RCP45","Rep4"
"4",215626,2031,19406.34,"RCP45","Rep4"
"6",308081,2031,27727.29,"RCP45","Rep4"
"7",66303,2031,5967.27,"RCP45","Rep4"
"8",152140,2031,13692.6,"RCP45","Rep4"
"9",296704,2031,26703.36,"RCP45","Rep4"
"10",28385,2031,2554.65,"RCP45","Rep4"
"11",306445,2031,27580.05,"RCP45","Rep4"
"12",278828,2031,25094.52,"RCP45","Rep4"
"13",5414,2031,487.26,"RCP45","Rep4"
"0",5411288,2032,487015.92,"RCP45","Rep4"
"1",1739033,2032,156512.97,"RCP45","Rep4"
"2",162528,2032,14627.52,"RCP45","Rep4"
"3",548382,2032,49354.38,"RCP45","Rep4"
"4",214855,2032,19336.95,"RCP45","Rep4"
"6",311316,2032,28018.44,"RCP45","Rep4"
"7",66323,2032,5969.07,"RCP45","Rep4"
"8",152117,2032,13690.53,"RCP45","Rep4"
"9",295493,2032,26594.37,"RCP45","Rep4"
"10",28228,2032,2540.52,"RCP45","Rep4"
"11",306086,2032,27547.74,"RCP45","Rep4"
"12",278939,2032,25104.51,"RCP45","Rep4"
"13",5416,2032,487.44,"RCP45","Rep4"
"0",5409989,2033,486899.01,"RCP45","Rep4"
"1",1742092,2033,156788.28,"RCP45","Rep4"
"2",156393,2033,14075.37,"RCP45","Rep4"
"3",553633,2033,49826.97,"RCP45","Rep4"
"4",212653,2033,19138.77,"RCP45","Rep4"
"6",315676,2033,28410.84,"RCP45","Rep4"
"7",66355,2033,5971.95,"RCP45","Rep4"
"8",152026,2033,13682.34,"RCP45","Rep4"
"9",293837,2033,26445.33,"RCP45","Rep4"
"10",28032,2033,2522.88,"RCP45","Rep4"
"11",304804,2033,27432.36,"RCP45","Rep4"
"12",279098,2033,25118.82,"RCP45","Rep4"
"13",5416,2033,487.44,"RCP45","Rep4"
"0",5417364,2034,487562.76,"RCP45","Rep4"
"1",1745746,2034,157117.14,"RCP45","Rep4"
"2",153767,2034,13839.03,"RCP45","Rep4"
"3",554768,2034,49929.12,"RCP45","Rep4"
"4",213239,2034,19191.51,"RCP45","Rep4"
"6",316812,2034,28513.08,"RCP45","Rep4"
"7",66699,2034,6002.91,"RCP45","Rep4"
"8",151756,2034,13658.04,"RCP45","Rep4"
"9",288134,2034,25932.06,"RCP45","Rep4"
"10",27531,2034,2477.79,"RCP45","Rep4"
"11",300276,2034,27024.84,"RCP45","Rep4"
"12",278522,2034,25066.98,"RCP45","Rep4"
"13",5390,2034,485.1,"RCP45","Rep4"
"0",5415731,2035,487415.79,"RCP45","Rep4"
