Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgDefoliation,
1, 2, 10512, 14747.3664383562, 530.492873619381, 268.462519025875, 0, 
1, 3, 6756, 15021.0990230906, 535.708532736564, 271.621225577265, 0, 
1, 4, 22531, 15547.3967422662, 542.158435686673, 270.656872753096, 0, 
1, 5, 21273, 15440.9955342453, 535.84452291284, 265.316974568702, 0, 
1, 7, 51231, 16029.3781889871, 562.080063029534, 268.69315453534, 0, 
1, 8, 136297, 15441.9861552345, 541.179573159371, 262.044725856035, 0, 
1, 11, 115650, 15190.2903934284, 538.513769917478, 253.02383052313, 0, 
1, 12, 55809, 15787.7574763927, 554.346101403428, 260.171854002043, 0, 
1, 14, 1269169, 15256.7039094084, 548.533986574621, 251.13941248171, 0, 
1, 17, 931229, 15483.1697788621, 568.690906878943, 247.507261908725, 0, 
1, 20, 740833, 14713.0501705513, 540.113528755681, 236.481695604812, 0, 
1, 24, 31026, 8295.22336105202, 323.332902287633, 146.828015213047, 0, 
1, 25, 55690, 8213.49603160352, 281.067272327683, 144.743885796373, 0, 
1, 26, 5094, 8522.87671770711, 305.527501338952, 148.588928150766, 0, 
1, 27, 26357, 8333.33596388056, 222.759243201159, 133.001100276966, 0, 
1, 28, 7166, 9059.73485905666, 170.093971929659, 134.05135361429, 0, 
1, 31, 4108, 9017.17916260954, 234.487661583664, 166.20423563778, 0, 
1, 33, 55919, 15621.3321768987, 546.302021019569, 268.009817772135, 0, 
1, 35, 3291, 13728.0355515041, 501.735066110497, 245.493163172288, 0, 
1, 36, 1891, 13739.1639344262, 487.022302154104, 242.416710735061, 0, 
1, 37, 78234, 15234.6202290564, 534.423652304581, 257.859575120791, 0, 
1, 38, 36436, 15479.5642221978, 537.788444200483, 267.946069821056, 0, 
1, 40, 52088, 15312.4306942098, 542.768093495751, 261.839943941023, 0, 
1, 45, 46044, 16682.9386239249, 592.513640032475, 266.408044479194, 0, 
1, 52, 179922, 7875.41913718167, 335.147644954539, 135.403452607241, 0, 
