Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 23, 867, 58, 56, 7, 2, 
5, 55, 916, 27, 26, 1, 1, 
5, 87, 778, 39, 38, 18, 1, 
5, 118, 799, 18, 15, 14, 2.87, 
5, 132, 944, 9, 9, 9, 1, 
5, 168, 1108, 177, 177, 77, 2.77, 
5, 169, 1123, 91, 91, 36, 2.97, 
5, 202, 828, 119, 105, 7, 1, 
5, 250, 1211, 34, 0, 0, 0, 
5, 258, 1041, 2, 2, 1, 3, 
5, 294, 1179, 14, 11, 7, 1, 
5, 307, 684, 15, 15, 9, 2, 
5, 315, 1119, 92, 84, 7, 2, 
5, 325, 625, 34, 34, 6, 2.94, 
5, 325, 1093, 36, 34, 20, 1.94, 
5, 325, 1194, 68, 67, 49, 2.93, 
5, 332, 581, 10, 10, 4, 2, 
5, 338, 1146, 2, 1, 3, 2, 
5, 363, 1394, 46, 36, 8, 1.94, 
5, 381, 1038, 18, 18, 98, 5, 
5, 400, 679, 80, 80, 275, 4, 
5, 414, 585, 58, 58, 285, 4, 
5, 421, 600, 26, 26, 27, 3, 
5, 423, 691, 10, 0, 0, 0, 
5, 423, 1023, 147, 124, 16, 1.22, 
5, 423, 1228, 219, 214, 71, 1.98, 
5, 430, 484, 9, 9, 46, 4, 
5, 432, 466, 8, 8, 29, 4, 
5, 436, 954, 50, 50, 6, 2.88, 
5, 437, 1229, 78, 77, 43, 2, 
5, 441, 1103, 53, 52, 11, 2, 
5, 444, 824, 4, 0, 0, 0, 
5, 451, 1099, 83, 0, 0, 0, 
5, 458, 900, 106, 106, 485, 4.98, 
5, 458, 910, 101, 101, 473, 5, 
5, 461, 783, 22, 22, 22, 3, 
5, 462, 1061, 48, 48, 227, 4.9, 
5, 471, 675, 68, 1, 2, 2, 
5, 473, 896, 2, 2, 2, 2, 
5, 496, 685, 2, 0, 0, 0, 
5, 516, 1398, 26, 26, 42, 3, 
5, 522, 1172, 2, 2, 2, 3, 
