LandisData	"Dynamic Input Data"				
					
>>Year	Ecoregion	Species	ProbEst	MaxANPP	MaxB
>>____	_________	_______	_______	_______	____
0	11	FRAXAMER	0.201	1064	31920
0	11	PICEABIE	0.827	339	16950
0	11	PICERUBE	0.794	346	17300
0	11	PINURESI	0.967	311	9330
0	11	PINUSTRO	0.674	966	28980
0	11	POPUGRAN	0.673	1365	40950
0	11	POPUTREM	0.896	1079	32370
0	11	PRUNPENS	0.992	1212	36360
0	11	PRUNSERO	0.269	1351	40530
0	11	QUERALBA	0.295	1262	37860
0	11	QUERRUBR	0.687	993	29790
0	11	TILIAMER	0.306	1696	50880
0	11	TSUGCANA	0.627	503	15090
0	12	ABIEBALS	0.9	564	16920
0	12	ACERPENS	0.672	1158	11580
0	12	ACERRUBR	0.198	928	27840
0	12	ACERSACC	0.555	1266	37980
0	12	BETUALLE	0.848	1162	34860
0	12	BETULENT	0.297	1162	34860
0	12	BETUPAPY	0.845	1219	36570
0	12	CARYCORD	0.146	1354	40620
0	12	CARYOVAT	0	1354	40620
0	12	FAGUGRAN	0.191	1051	31530
0	12	FRAXAMER	0.195	1074	32220
0	12	PICEABIE	0.82	340	17000
0	12	PICERUBE	0.813	348	17400
0	12	PINURESI	0.963	316	9480
0	12	PINUSTRO	0.665	974	29220
0	12	POPUGRAN	0.664	1375	41250
0	12	POPUTREM	0.893	1090	32700
0	12	PRUNPENS	0.992	1223	36690
0	12	PRUNSERO	0.263	1362	40860
0	12	QUERALBA	0.288	1273	38190
0	12	QUERRUBR	0.679	1003	30090
0	12	TILIAMER	0.29	1707	51210
0	12	TSUGCANA	0.62	505	15150
0	14	ABIEBALS	0.901	586	17580
0	14	ACERPENS	0.471	1133	11330
0	14	ACERRUBR	0.135	902	27060
0	14	ACERSACC	0.414	1238	37140
0	14	BETUALLE	0.73	1135	34050
0	14	BETULENT	0.137	1135	34050
0	14	BETUPAPY	0.886	1190	35700
0	14	CARYCORD	0.066	1322	39660
0	14	CARYOVAT	0	1322	39660
0	14	FAGUGRAN	0.107	1025	30750
0	14	FRAXAMER	0.124	1046	31380
0	14	PICEABIE	0.707	355	17750
0	14	PICERUBE	0.665	361	18050
0	14	PINURESI	0.896	303	9090
0	14	PINUSTRO	0.552	957	28710
0	14	POPUGRAN	0.551	1345	40350
0	14	POPUTREM	0.862	1061	31830
