Time,InsectName,StartYear,StopYear,MeanDefoliation,NumSitesDefoliated0_33,NumSitesDefoliated33_66,NumSitesDefoliated66_100,NumOutbreakInitialSites,MortalityBiomass,
0, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
1, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
2, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
3, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
4, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
5, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
6, FTC, 6, 7, 0.0968, 3868920, 132446, 110732, 375636, 0, 
7, FTC, 6, 7, 0.0802, 3951285, 140580, 20512, 375636, 163032241, 
8, FTC, 0, 0, 0, 0, 0, 0, 0, 173584677, 
9, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
10, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
11, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
12, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
13, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
14, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
15, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
16, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
17, FTC, 17, 18, 0.0951, 3860049, 126955, 108624, 349170, 0, 
18, FTC, 17, 18, 0.0797, 3935003, 139565, 21643, 349170, 165510046, 
19, FTC, 0, 0, 0, 0, 0, 0, 0, 181623869, 
20, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
21, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
22, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
23, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
24, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
25, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
26, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
27, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
28, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
29, FTC, 29, 31, 0.0995, 3820389, 135894, 127948, 394510, 0, 
30, FTC, 29, 31, 0.0813, 3897233, 151334, 25371, 394510, 194286869, 
31, FTC, 29, 31, 0.0699, 3975339, 93366, 6222, 394510, 204299887, 
32, FTC, 0, 0, 0, 0, 0, 0, 0, 217952061, 
33, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
34, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
35, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
