Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 37, 850, 62, 0, 0, 0, 
5, 46, 872, 150, 150, 74, 2.92, 
5, 50, 1032, 160, 148, 9, 1.73, 
5, 57, 1017, 55, 55, 174, 4, 
5, 63, 1138, 56, 56, 67, 3, 
5, 81, 884, 51, 32, 3, 2, 
5, 87, 1098, 8, 7, 7, 3, 
5, 93, 929, 20, 20, 84, 5, 
5, 167, 806, 34, 31, 15, 2.81, 
5, 183, 1109, 106, 102, 77, 3, 
5, 187, 1069, 40, 15, 2, 2, 
5, 194, 1164, 18, 18, 11, 2, 
5, 214, 1042, 19, 0, 0, 0, 
5, 215, 918, 3, 1, 1, 1, 
5, 229, 541, 11, 1, 7, 5, 
5, 230, 571, 41, 41, 40, 3, 
5, 235, 1132, 70, 70, 82, 3, 
5, 246, 687, 11, 5, 1, 1, 
5, 258, 649, 30, 28, 40, 2.75, 
5, 270, 672, 45, 41, 10, 2.73, 
5, 273, 929, 37, 0, 0, 0, 
5, 282, 633, 2, 0, 0, 0, 
5, 291, 661, 20, 20, 16, 3, 
5, 295, 698, 3, 0, 0, 0, 
5, 302, 1247, 22, 22, 27, 3, 
5, 322, 695, 12, 11, 12, 3, 
5, 330, 1063, 26, 16, 3, 3, 
5, 340, 840, 44, 40, 23, 2.95, 
5, 386, 847, 180, 178, 85, 1.99, 
5, 406, 609, 222, 174, 38, 1.94, 
5, 409, 699, 25, 0, 0, 0, 
5, 414, 1411, 30, 30, 122, 4.93, 
5, 416, 546, 23, 20, 11, 2, 
5, 422, 591, 42, 33, 4, 1, 
5, 427, 599, 15, 5, 1, 2, 
5, 436, 1297, 48, 27, 10, 3, 
5, 440, 1430, 181, 172, 15, 1, 
5, 448, 895, 51, 42, 11, 1, 
5, 452, 948, 2, 0, 0, 0, 
5, 470, 719, 90, 0, 0, 0, 
5, 491, 983, 65, 64, 46, 3, 
5, 515, 931, 223, 219, 23, 1, 
5, 518, 482, 6, 6, 41, 5, 
5, 518, 1302, 132, 131, 160, 3, 
5, 534, 684, 38, 37, 31, 3, 
5, 560, 1385, 101, 98, 47, 3, 
5, 562, 499, 29, 29, 24, 3, 
5, 581, 843, 225, 225, 72, 1.96, 
5, 589, 626, 3, 0, 0, 0, 
5, 591, 942, 2, 2, 2, 3, 
5, 603, 743, 34, 0, 0, 0, 
5, 607, 1034, 91, 90, 84, 1.57, 
5, 612, 693, 8, 8, 33, 5, 
5, 618, 806, 20, 20, 4, 3, 
5, 628, 983, 72, 72, 373, 4.99, 
5, 631, 1059, 5, 0, 0, 0, 
5, 633, 1179, 3, 0, 0, 0, 
5, 635, 1160, 123, 122, 25, 1.99, 
