Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgDefoliation,
1, 2, 10512, 14765.8133561644, 550.009309950094, 272.381373668189, 0, 
1, 3, 6756, 15042.0303433985, 557.235729640169, 275.959147424512, 0, 
1, 4, 22531, 15572.1805956238, 566.685703930455, 275.369002707381, 0, 
1, 5, 21273, 15469.1853053166, 564.790377326509, 271.091947539134, 0, 
1, 7, 51231, 16051.6361187562, 584.880968068357, 273.250102477016, 0, 
1, 8, 136297, 15465.1997109254, 563.64581791472, 266.542843936404, 0, 
1, 11, 115650, 15202.5585386943, 550.180747065959, 255.320259403372, 0, 
1, 12, 55809, 15802.0255155978, 569.064272411364, 263.263613395689, 0, 
1, 14, 1269169, 15267.7057129508, 559.349421422264, 253.316160416777, 0, 
1, 17, 931229, 15486.3155485922, 571.515312206896, 248.106695560383, 0, 
1, 20, 740833, 14713.7719027095, 540.387072307637, 236.64449072868, 0, 
1, 24, 31026, 8307.13485463805, 337.903406580251, 150.258686263134, 0, 
1, 25, 55690, 8235.26049560065, 308.096504083375, 151.08096606213, 0, 
1, 26, 5094, 8541.98979191205, 329.008467430095, 154.05634079309, 0, 
1, 27, 26357, 8367.3919262435, 261.552159659994, 142.292673673028, 0, 
1, 28, 7166, 9109.46162433715, 229.597682850349, 147.882082054145, 0, 
1, 31, 4108, 9037.82984420643, 260.556053199141, 172.236611489776, 0, 
1, 33, 55919, 15649.3361111608, 574.719763507626, 273.743754358984, 0, 
1, 35, 3291, 13739.8310543908, 513.151699830028, 247.728957763598, 0, 
1, 36, 1891, 13763.047065045, 511.636673902683, 247.340031729244, 0, 
1, 37, 78234, 15256.0278012117, 555.390914026475, 262.097336196539, 0, 
1, 38, 36436, 15507.9141233944, 566.529607502874, 273.594933582172, 0, 
1, 40, 52088, 15335.309341883, 566.70684575742, 266.672707725388, 0, 
1, 45, 46044, 16688.6609547389, 597.969202492018, 267.549430979064, 0, 
1, 52, 179922, 7875.78420093151, 335.228512910331, 135.507536599193, 0, 
1, 53, 78866, 8053.88664316689, 333.093445618287, 146.742411178455, 0, 
1, 62, 8624, 14862.6610621521, 548.560583777655, 266.524466604824, 0, 
1, 65, 12462, 8770.08289199165, 272.873407246426, 161.63689616434, 0, 
1, 79, 32523, 16800.9360452603, 598.514059325293, 267.111090612797, 0, 
1, 80, 42117, 16442.2367215139, 580.847308319236, 264.841584158416, 0, 
