Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 86, 1008, 11, 8, 11, 3, 
5, 102, 896, 23, 0, 0, 0, 
5, 113, 1024, 26, 26, 10, 3, 
5, 132, 941, 64, 64, 320, 4.89, 
5, 142, 782, 28, 0, 0, 0, 
5, 145, 893, 6, 0, 0, 0, 
5, 157, 1053, 35, 32, 7, 1, 
5, 159, 779, 8, 0, 0, 0, 
5, 174, 1165, 72, 72, 60, 3, 
5, 184, 625, 22, 16, 10, 3, 
5, 185, 746, 50, 49, 2, 1, 
5, 186, 851, 27, 0, 0, 0, 
5, 248, 791, 26, 26, 122, 4, 
5, 265, 1207, 41, 37, 17, 1, 
5, 281, 1248, 13, 13, 21, 3, 
5, 284, 735, 186, 0, 0, 0, 
5, 294, 1041, 119, 119, 547, 5, 
5, 310, 1007, 6, 6, 7, 1.5, 
5, 316, 618, 74, 74, 43, 2.89, 
5, 320, 578, 158, 155, 79, 2, 
5, 320, 763, 54, 38, 16, 2, 
5, 322, 1145, 59, 59, 27, 2.86, 
5, 324, 1002, 132, 132, 642, 5, 
5, 347, 930, 122, 122, 231, 3, 
5, 354, 594, 76, 75, 51, 3, 
5, 376, 713, 17, 0, 0, 0, 
5, 387, 615, 19, 18, 1, 2, 
5, 439, 1354, 29, 18, 3, 1, 
5, 440, 750, 88, 84, 108, 3, 
5, 443, 529, 6, 5, 1, 2, 
5, 444, 759, 14, 2, 1, 1, 
5, 444, 1158, 90, 89, 29, 1, 
5, 456, 1332, 69, 64, 7, 1.53, 
5, 459, 1093, 74, 0, 0, 0, 
5, 462, 1021, 97, 97, 81, 3, 
5, 496, 1247, 59, 59, 363, 5, 
5, 512, 573, 21, 20, 22, 3, 
5, 530, 1194, 2, 2, 1, 1, 
5, 531, 633, 30, 30, 171, 5, 
5, 554, 1029, 35, 33, 7, 2, 
5, 572, 852, 56, 44, 7, 1.8, 
5, 592, 779, 2, 0, 0, 0, 
5, 596, 699, 4, 4, 2, 2.25, 
5, 603, 760, 113, 91, 22, 1.43, 
5, 603, 1370, 59, 55, 11, 1.93, 
5, 625, 1234, 122, 122, 623, 5, 
5, 637, 1060, 47, 45, 19, 1, 
5, 648, 427, 204, 180, 33, 1, 
5, 660, 1013, 24, 22, 6, 2, 
5, 660, 1086, 51, 50, 18, 3, 
5, 668, 1321, 222, 218, 41, 2, 
5, 676, 898, 14, 14, 51, 4, 
5, 680, 791, 30, 20, 3, 2, 
5, 690, 1215, 51, 51, 173, 4, 
5, 693, 617, 25, 0, 0, 0, 
5, 698, 568, 9, 9, 48, 5, 
5, 705, 963, 150, 150, 644, 4, 
5, 719, 563, 29, 29, 37, 3, 
5, 719, 1095, 75, 75, 406, 5, 
5, 727, 1347, 18, 12, 2, 3, 
5, 732, 864, 44, 0, 0, 0, 
5, 738, 737, 55, 55, 224, 4, 
5, 741, 1301, 81, 78, 13, 2, 
5, 745, 1091, 76, 57, 15, 2, 
5, 748, 990, 25, 16, 7, 1, 
5, 776, 997, 292, 292, 379, 3, 
5, 782, 1204, 44, 41, 13, 2, 
5, 792, 989, 67, 67, 109, 3, 
5, 796, 523, 13, 0, 0, 0, 
5, 843, 1321, 3, 0, 0, 0, 
5, 847, 1021, 57, 53, 10, 2, 
5, 853, 631, 17, 17, 19, 3, 
5, 867, 740, 31, 29, 33, 3, 
5, 880, 981, 142, 141, 37, 3, 
5, 886, 1355, 36, 13, 4, 1.69, 
5, 894, 1123, 70, 69, 27, 3, 
5, 895, 571, 53, 53, 315, 4, 
5, 908, 533, 113, 109, 100, 3, 
5, 925, 1217, 88, 88, 86, 2.98, 
5, 956, 1042, 13, 3, 1, 3, 
5, 963, 1173, 119, 81, 6, 1, 
5, 967, 1089, 97, 97, 323, 4, 
5, 969, 535, 48, 1, 7, 5, 
5, 969, 727, 44, 9, 4, 2, 
5, 969, 894, 36, 36, 201, 5, 
5, 972, 1333, 5, 0, 0, 0, 
5, 977, 1182, 87, 0, 0, 0, 
5, 992, 691, 5, 5, 19, 5, 
5, 994, 962, 141, 140, 72, 3, 
5, 996, 775, 110, 82, 5, 1.61, 
5, 996, 920, 132, 132, 649, 4.99, 
5, 1013, 1291, 44, 39, 18, 2, 
5, 1025, 988, 27, 27, 140, 5, 
5, 1026, 1383, 238, 220, 85, 2.73, 
5, 1037, 1416, 19, 15, 9, 1.07, 
5, 1046, 1300, 14, 13, 9, 3, 
5, 1074, 831, 82, 79, 1, 1, 
5, 1081, 1404, 52, 50, 5, 1, 
5, 1107, 703, 45, 37, 14, 2.84, 
5, 1120, 681, 23, 9, 1, 1, 
5, 1122, 567, 4, 3, 3, 2, 
5, 1135, 863, 115, 68, 11, 2.65, 
5, 1147, 1044, 76, 0, 0, 0, 
5, 1148, 1382, 78, 76, 40, 2, 
5, 1153, 1337, 70, 70, 454, 5, 
5, 1163, 1320, 12, 12, 7, 2, 
5, 1176, 1258, 23, 23, 122, 5, 
5, 1184, 762, 127, 122, 26, 2, 
5, 1185, 536, 38, 38, 53, 2.97, 
5, 1192, 1259, 9, 9, 46, 5, 
5, 1199, 1447, 9, 7, 2, 2, 
5, 1234, 1449, 5, 5, 4, 1.6, 
5, 1242, 891, 28, 0, 0, 0, 
5, 1248, 992, 18, 15, 4, 1, 
5, 1252, 1193, 133, 133, 654, 4, 
5, 1272, 1480, 59, 59, 222, 5, 
5, 1286, 543, 6, 6, 5, 2, 
5, 1296, 1093, 22, 12, 1, 2, 
5, 1308, 939, 52, 42, 9, 1, 
5, 1316, 687, 156, 147, 100, 3, 
5, 1321, 644, 68, 63, 22, 2, 
5, 1323, 852, 69, 61, 5, 3, 
5, 1329, 1060, 21, 0, 0, 0, 
5, 1333, 1254, 11, 0, 0, 0, 
5, 1337, 763, 4, 4, 3, 3, 
5, 1342, 1116, 93, 92, 33, 3, 
5, 1345, 855, 10, 10, 10, 3, 
5, 1354, 1486, 2, 0, 0, 0, 
5, 1356, 1028, 2, 2, 8, 4, 
5, 1359, 761, 4, 4, 12, 4, 
5, 1367, 1493, 24, 23, 7, 3, 
5, 1381, 1157, 119, 119, 17, 1, 
5, 1388, 946, 72, 71, 83, 3, 
5, 1413, 1417, 26, 25, 14, 2, 
5, 1433, 874, 55, 32, 4, 1, 
5, 1436, 817, 2, 2, 1, 3, 
5, 1441, 1380, 149, 148, 33, 2, 
5, 1451, 894, 3, 0, 0, 0, 
5, 1463, 1402, 8, 0, 0, 0, 
5, 1465, 908, 11, 0, 0, 0, 
5, 1481, 956, 47, 47, 55, 2, 
5, 1482, 758, 53, 51, 25, 2, 
5, 1489, 1404, 9, 0, 0, 0, 
5, 1492, 1500, 55, 53, 25, 2, 
5, 1495, 943, 126, 0, 0, 0, 
5, 1496, 1079, 9, 9, 4, 2, 
5, 1503, 710, 149, 0, 0, 0, 
5, 1527, 1132, 202, 202, 61, 1.95, 
5, 1528, 1538, 6, 6, 38, 4.83, 
5, 1531, 1511, 167, 166, 175, 3, 
5, 1534, 1215, 32, 13, 2, 1, 
5, 1535, 849, 42, 0, 0, 0, 
5, 1536, 1559, 16, 16, 19, 2.81, 
5, 1537, 1568, 42, 42, 251, 5, 
5, 1538, 1276, 107, 104, 27, 3, 
5, 1541, 1079, 18, 4, 1, 1, 
5, 1546, 967, 3, 3, 1, 2, 
5, 1547, 1158, 107, 107, 56, 2.96, 
5, 1547, 1630, 4, 2, 2, 2, 
5, 1552, 1418, 32, 25, 27, 3, 
5, 1555, 1678, 64, 52, 37, 3, 
5, 1559, 1656, 5, 0, 0, 0, 
5, 1564, 1348, 177, 177, 168, 3, 
5, 1571, 918, 10, 10, 1, 1, 
5, 1576, 1081, 26, 0, 0, 0, 
5, 1578, 979, 19, 10, 2, 3, 
5, 1585, 1016, 81, 79, 78, 1.97, 
5, 1612, 1296, 44, 44, 43, 2.93, 
5, 1612, 1491, 91, 91, 122, 3, 
5, 1615, 1209, 23, 22, 12, 3, 
5, 1617, 1201, 56, 32, 3, 2, 
5, 1633, 1189, 23, 19, 6, 3, 
5, 1635, 1608, 41, 41, 51, 3, 
5, 1652, 779, 130, 129, 114, 3, 
5, 1654, 1376, 10, 7, 13, 3, 
5, 1658, 1034, 91, 90, 30, 1, 
5, 1666, 1387, 168, 165, 129, 2.99, 
5, 1668, 1311, 177, 173, 79, 2, 
5, 1671, 1659, 266, 251, 16, 1.69, 
5, 1675, 988, 119, 119, 95, 3, 
5, 1710, 1190, 79, 77, 40, 3, 
5, 1725, 1480, 188, 188, 72, 2, 
5, 1734, 1278, 2, 1, 1, 1, 
5, 1734, 1322, 16, 16, 5, 2, 
5, 1750, 786, 39, 39, 42, 3, 
5, 1754, 1308, 19, 1, 1, 2, 
5, 1773, 1404, 97, 73, 11, 2, 
5, 1799, 1166, 12, 1, 2, 2, 
5, 1822, 1029, 55, 53, 8, 2, 
5, 1824, 1138, 53, 20, 2, 1, 
5, 1835, 929, 57, 0, 0, 0, 
5, 1862, 1408, 156, 156, 78, 3, 
5, 1863, 830, 95, 92, 40, 2, 
5, 1880, 1486, 34, 34, 141, 4, 
5, 1899, 1261, 11, 11, 6, 1.64, 
5, 1907, 1131, 47, 47, 238, 4.98, 
