"class","npixels","year","areaHa","scenario","rep"
"0",698920,2010,62902.8,"RCP45","Rep3"
"1",952943,2010,85764.87,"RCP45","Rep3"
"2",99273,2010,8934.57,"RCP45","Rep3"
"3",416862,2010,37517.58,"RCP45","Rep3"
"4",98567,2010,8871.03,"RCP45","Rep3"
"5",85570,2010,7701.3,"RCP45","Rep3"
"6",137092,2010,12338.28,"RCP45","Rep3"
"7",6379,2010,574.11,"RCP45","Rep3"
"8",6018,2010,541.62,"RCP45","Rep3"
"9",151518,2010,13636.62,"RCP45","Rep3"
"10",10341,2010,930.69,"RCP45","Rep3"
"11",144997,2010,13049.73,"RCP45","Rep3"
"12",44017,2010,3961.53,"RCP45","Rep3"
"13",736,2010,66.24,"RCP45","Rep3"
"0",698920,2011,62902.8,"RCP45","Rep3"
"1",958600,2011,86274,"RCP45","Rep3"
"2",97887,2011,8809.83,"RCP45","Rep3"
"3",418736,2011,37686.24,"RCP45","Rep3"
"4",95706,2011,8613.54,"RCP45","Rep3"
"5",85441,2011,7689.69,"RCP45","Rep3"
"6",138280,2011,12445.2,"RCP45","Rep3"
"7",6380,2011,574.2,"RCP45","Rep3"
"8",6019,2011,541.71,"RCP45","Rep3"
"9",148932,2011,13403.88,"RCP45","Rep3"
"10",10326,2011,929.34,"RCP45","Rep3"
"11",143244,2011,12891.96,"RCP45","Rep3"
"12",44026,2011,3962.34,"RCP45","Rep3"
"13",736,2011,66.24,"RCP45","Rep3"
"0",698920,2012,62902.8,"RCP45","Rep3"
"1",959755,2012,86377.95,"RCP45","Rep3"
"2",97489,2012,8774.01,"RCP45","Rep3"
"3",420487,2012,37843.83,"RCP45","Rep3"
"4",94889,2012,8540.01,"RCP45","Rep3"
"5",85494,2012,7694.46,"RCP45","Rep3"
"6",139153,2012,12523.77,"RCP45","Rep3"
"7",6380,2012,574.2,"RCP45","Rep3"
"8",6372,2012,573.48,"RCP45","Rep3"
"9",147171,2012,13245.39,"RCP45","Rep3"
"10",9782,2012,880.38,"RCP45","Rep3"
"11",142575,2012,12831.75,"RCP45","Rep3"
"12",44030,2012,3962.7,"RCP45","Rep3"
"13",736,2012,66.24,"RCP45","Rep3"
"0",698920,2013,62902.8,"RCP45","Rep3"
"1",960981,2013,86488.29,"RCP45","Rep3"
"2",96518,2013,8686.62,"RCP45","Rep3"
"3",420284,2013,37825.56,"RCP45","Rep3"
"4",94797,2013,8531.73,"RCP45","Rep3"
"5",85129,2013,7661.61,"RCP45","Rep3"
"6",139905,2013,12591.45,"RCP45","Rep3"
"7",6380,2013,574.2,"RCP45","Rep3"
"8",6374,2013,573.66,"RCP45","Rep3"
"9",146854,2013,13216.86,"RCP45","Rep3"
"10",9760,2013,878.4,"RCP45","Rep3"
"11",142560,2013,12830.4,"RCP45","Rep3"
"12",44035,2013,3963.15,"RCP45","Rep3"
"13",736,2013,66.24,"RCP45","Rep3"
"0",705302,2014,63477.18,"RCP45","Rep3"
"1",962659,2014,86639.31,"RCP45","Rep3"
"2",95134,2014,8562.06,"RCP45","Rep3"
"3",418735,2014,37686.15,"RCP45","Rep3"
"4",94707,2014,8523.63,"RCP45","Rep3"
"5",85176,2014,7665.84,"RCP45","Rep3"
"6",140776,2014,12669.84,"RCP45","Rep3"
"7",6375,2014,573.75,"RCP45","Rep3"
"8",6421,2014,577.89,"RCP45","Rep3"
"9",141749,2014,12757.41,"RCP45","Rep3"
"10",9429,2014,848.61,"RCP45","Rep3"
"11",142129,2014,12791.61,"RCP45","Rep3"
"12",43904,2014,3951.36,"RCP45","Rep3"
"13",737,2014,66.33,"RCP45","Rep3"
"0",706014,2015,63541.26,"RCP45","Rep3"
"1",964295,2015,86786.55,"RCP45","Rep3"
"2",94683,2015,8521.47,"RCP45","Rep3"
"3",421667,2015,37950.03,"RCP45","Rep3"
